"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;33,43;33,560001;33,169998;33,25;5119300;20,584772
2010-01-05;33,349998;33,349998;32,5;32,580002;4948100;20,169981
2010-01-06;32,68;33,209999;32,560001;33,040001;5061700;20,454767
2010-01-07;33,09;33,09;32,630001;32,900002;3481100;20,368088
2010-01-08;32,919998;32,919998;32,599998;32,830002;3513800;20,324755
2010-01-11;33,029999;33,32;32,860001;33,259998;3609500;20,590961
2010-01-12;33,220001;33,43;33;33,049999;4354600;20,460951
2010-01-13;33,209999;33,610001;33,110001;33,52;4961300;20,751926
2010-01-14;33,490002;33,509998;33,27;33,439999;2654200;20,702398
2010-01-15;33,150002;33,360001;32,93;33,34;7412400;20,640486
2010-01-19;33,389999;33,650002;33,099998;33,650002;4693100;20,832411
2010-01-20;33,509998;33,540001;33,139999;33,43;8748000;20,696213
2010-01-21;33,490002;33,73;33,009998;33,150002;4380800;20,522861
2010-01-22;33,130001;33,349998;32,52;32,540001;5910100;20,14522
2010-01-25;32,790001;32,919998;32,43;32,799999;4476600;20,306181
2010-01-26;32,779999;33,110001;32,599998;32,970001;5362200;20,411432
2010-01-27;32,919998;33,23;32,110001;32,91;9757100;20,374279
2010-01-28;32,419998;32,580002;31,940001;31,950001;5068900;20,046448
2010-01-29;32,060001;32,200001;31,85;32;5421300;20,07782
2010-02-01;32,09;32,139999;31,75;32;3769100;20,07782
2010-02-02;31,98;32,169998;31,709999;32,150002;4712400;20,171934
2010-02-03;32;32,139999;31,85;32;3143100;20,07782
2010-02-04;31,889999;32,029999;31,58;31,58;4895000;19,814293
2010-02-05;31,57;31,74;31,309999;31,700001;7399800;19,889591
2010-02-08;31,690001;31,709999;31,1;31,129999;3802600;19,531956
2010-02-09;31,280001;31,6;31,16;31,290001;4218000;19,632341
2010-02-10;31,290001;31,360001;31,01;31,280001;3165800;19,626072
2010-02-11;31,190001;31,379999;30,85;31,32;3605200;19,651165
2010-02-12;31,09;31,27;30,99;31,17;6222500;19,557053
2010-02-16;31,530001;31,92;31,01;31,879999;3797300;20,002523
2010-02-17;32,02;32,099998;31,58;31,639999;3320700;19,851942
2010-02-18;31,58;31,870001;31,58;31,809999;2976400;19,958607
2010-02-19;31,74;32,349998;31,73;32,290001;4247500;20,259771
2010-02-22;32,41;32,490002;32,209999;32,34;3799400;20,291143
2010-02-23;32,330002;32,450001;32,02;32,02;4049500;20,090372
2010-02-24;32,040001;32,220001;31,73;32,130001;3603200;20,159382
2010-02-25;31,93;32,029999;31,59;32,009998;3895700;20,084097
2010-02-26;32,07;32,09;31,75;31,77;3852100;19,933504
2010-03-01;31,889999;32,130001;31,83;32,060001;2971100;20,115463
2010-03-02;32,200001;32,369999;32,02;32,23;3216800;20,22213
2010-03-03;32,330002;32,369999;32,009998;32,18;3455100;20,190758
2010-03-04;32,18;32,32;32;32,290001;3264100;20,259771
2010-03-05;32,099998;32,240002;32,029999;32,220001;5062900;20,215855
2010-03-08;32,490002;32,490002;32,23;32,349998;3070100;20,297419
2010-03-09;32,380001;32,41;32,080002;32,310001;10894400;20,272324
2010-03-10;32,32;32,450001;32,150002;32,360001;3721100;20,303698
2010-03-11;32,259998;32,5;32,23;32,5;2547900;20,391533
2010-03-12;32,52;32,540001;32,259998;32,48;3238000;20,378986
2010-03-15;32,52;32,889999;32,470001;32,860001;3353700;20,617407
2010-03-16;32,860001;33,27;32,689999;33,209999;4859400;20,837006
2010-03-17;33,240002;33,450001;33,110001;33,450001;3424600;20,987597
2010-03-18;33,400002;33,459999;33,25;33,380001;3375900;20,94368
2010-03-19;33,18;33,5;33,130001;33,18;8063000;20,818188
2010-03-22;33,18;33,290001;33,040001;33,110001;3480300;20,774269
2010-03-23;33,150002;33,349998;33,009998;33,349998;4174100;20,924852
2010-03-24;33,330002;33,330002;33,009998;33,029999;2922400;20,724075
2010-03-25;33,18;33,23;32,849998;33,009998;3877800;20,711525
2010-03-26;33,02;33,299999;32,939999;33,099998;2678400;20,767988
2010-03-29;33,110001;33,349998;33,110001;33,34;2640100;20,918571
2010-03-30;33,389999;33,450001;33,049999;33,209999;3324300;20,837006
2010-03-31;33,150002;33,25;33;33,16;2740600;20,805635
2010-04-01;33,290001;33,450001;33,200001;33,419998;2661500;20,968775
2010-04-05;33,509998;33,52;33,310001;33,490002;2126800;21,012691
2010-04-06;33,380001;33,880001;33,299999;33,880001;3050600;21,257397
2010-04-07;33,790001;33,82;33,5;33,560001;3302600;21,056608
2010-04-08;33,48;33,580002;33,349998;33,509998;2773400;21,02524
2010-04-09;33,610001;33,93;33,32;33,93;3197200;21,288771
2010-04-12;33,91;33,990002;33,849998;33,950001;2429000;21,301306
2010-04-13;33,889999;33,970001;33,720001;33,91;3045000;21,276215
2010-04-14;33,799999;34;33,700001;33,990002;3038900;21,326414
2010-04-15;33,889999;33,959999;33,700001;33,950001;2774400;21,301306
2010-04-16;33,93;33,990002;33,759998;33,869999;4463400;21,251114
2010-04-19;33,91;34,200001;33,810001;34,09;3428600;21,389154
2010-04-20;34,240002;34,439999;34,209999;34,400002;2881600;21,583658
2010-04-21;34,419998;34,549999;34,32;34,450001;3076800;21,615028
2010-04-22;34,259998;34,59;34,150002;34,549999;3319700;21,677773
2010-04-23;34,599998;34,73;34,310001;34,73;3459200;21,790705
2010-04-26;34,779999;35,169998;34,700001;34,869999;5202400;21,878551
2010-04-27;34,990002;35,200001;34,439999;34,5;5196700;21,646399
2010-04-28;34,970001;35,450001;34,709999;35,259998;9756900;22,123247
2010-04-29;34,84;34,84;34,5;34,639999;6296800;22,018366
2010-04-30;34,669998;35,029999;34,549999;34,560001;6479700;21,96752
2010-05-03;34,75;34,84;34,509998;34,610001;5212500;21,999302
2010-05-04;34,459999;34,619999;34,220001;34,32;5907400;21,814962
2010-05-05;34,25;34,849998;34,02;34,02;7230300;21,624275
2010-05-06;34,009998;34,150002;32,040001;33,48;13046900;21,281036
2010-05-07;33,57;34,27;33,32;33,919998;14377500;21,560709
2010-05-10;34,68;34,98;34,5;34,869999;5961600;22,164564
2010-05-11;34,689999;35,099998;34,57;34,880001;5170100;22,170916
2010-05-12;34,82;35,099998;34,709999;35,060001;3646500;22,285337
2010-05-13;34,970001;35,029999;34,580002;34,630001;4665400;22,012011
2010-05-14;34,52;34,77;34,310001;34,470001;3821700;21,910307
2010-05-17;34,619999;34,740002;34,169998;34,630001;3470000;22,012011
2010-05-18;34,740002;34,799999;34,139999;34,27;5314400;21,78318
2010-05-19;34,189999;34,310001;33,779999;33,93;5971800;21,567066
2010-05-20;33,509998;33,970001;33,369999;33,41;11055600;21,236536
2010-05-21;33,080002;33,619999;33,009998;33,619999;6904200;21,37002
2010-05-24;33,439999;33,599998;33,060001;33,110001;6329400;21,045851
2010-05-25;32,860001;33,07;32,450001;32,990002;6889300;20,96957
2010-05-26;33,200001;33,200001;32,540001;32,669998;8774700;20,766165
2010-05-27;33;33,09;32,720001;32,919998;5475400;20,925079
2010-05-28;33;33,07;32,619999;32,700001;7506200;20,785238
2010-06-01;32,57;32,759998;32,259998;32,27;6616300;20,511915
2010-06-02;32,470001;32,709999;32,23;32,689999;5779100;20,778879
2010-06-03;32,630001;33;32,630001;32,830002;4789400;20,867872
2010-06-04;32,610001;32,610001;32,040001;32,130001;7466100;20,422926
2010-06-07;32,790001;32,790001;32,25;32,279999;5066600;20,518272
2010-06-08;32,369999;32,849998;32,130001;32,84;5628000;20,874226
2010-06-09;32,889999;32,889999;32,470001;32,57;3925900;20,702602
2010-06-10;32,869999;33,040001;32,689999;33,02;4602300;20,988638
2010-06-11;32,759998;33,029999;32,59;33,029999;3565800;20,994997
2010-06-14;33,25;33,349998;33,049999;33,169998;3420600;21,083984
2010-06-15;33,400002;33,720001;33,27;33,709999;2718000;21,427221
2010-06-16;33,57;33,860001;33,48;33,860001;3171100;21,522577
2010-06-17;33,91;34,09;33,669998;34,02;3753700;21,624275
2010-06-18;34,080002;34,189999;33,950001;34,110001;4646100;21,681484
2010-06-21;34,25;34,360001;33,810001;33,919998;3692100;21,560709
2010-06-22;33,900002;34,060001;33,509998;33,540001;4921600;21,319174
2010-06-23;33,57;33,630001;33,189999;33,34;3432400;21,192045
2010-06-24;33,290001;33,689999;33,25;33,299999;4291700;21,166616
2010-06-25;33,380001;33,419998;33,099998;33,279999;5234500;21,153912
2010-06-28;33,419998;33,959999;33,290001;33,810001;4107000;21,490791
2010-06-29;33,560001;33,75;33,27;33,639999;5505300;21,382727
2010-06-30;33,669998;33,720001;33,18;33,279999;4567200;21,153912
2010-07-01;33,330002;33,43;33;33,369999;5057400;21,211111
2010-07-02;33,490002;33,650002;33,299999;33,380001;4491700;21,217468
2010-07-06;33,580002;33,599998;33,25;33,5;8049700;21,293745
2010-07-07;33,529999;34,57;33,43;34,529999;6020200;21,948452
2010-07-08;34,490002;34,560001;34,240002;34,52;4398000;21,942097
2010-07-09;34,549999;34,75;34,380001;34,709999;3172700;22,062862
2010-07-12;34,57;34,799999;34,470001;34,779999;3336300;22,107355
2010-07-13;34,849998;34,98;34,720001;34,889999;3396700;22,177267
2010-07-14;34,82;34,950001;34,619999;34,91;2854700;22,189989
2010-07-15;34,93;35,09;34,799999;35,02;7236800;22,259907
2010-07-16;34,849998;35,130001;34,759998;34,779999;4914000;22,107355
2010-07-19;34,959999;35,5;34,860001;35,419998;4410100;22,514162
