"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;56,400002;56,610001;55,799999;55,900002;2081200;41,119728
2010-01-05;55,82;55,84;54,369999;54,709999;3408600;40,244362
2010-01-06;54,59;54,849998;53,91;53,959999;2956500;39,692657
2010-01-07;53,790001;54,220001;52,91;53,84;2221300;39,604382
2010-01-08;53,709999;53,970001;53,060001;53,810001;1364500;39,582329
2010-01-11;54,029999;54,799999;53,950001;54,59;1225900;40,156086
2010-01-12;54,43;54,91;53,93;54,400002;1238200;40,016331
2010-01-13;53,619999;53,91;52,860001;53,869999;2641400;39,626453
2010-01-14;53,77;54,02;53,509998;53,599998;1411500;39,42786
2010-01-15;53,580002;53,599998;51,93;52,419998;3162300;38,559853
2010-01-19;52,5;52,990002;52,310001;52,529999;3581300;38,640759
2010-01-20;52,200001;52,27;51,68;51,880001;2452300;38,16264
2010-01-21;51,779999;52,599998;51,52;52,200001;3036000;38,398026
2010-01-22;52,209999;52,599998;51,5;51,549999;3159200;37,919884
2010-01-25;51,849998;52,209999;51,560001;51,59;1602200;37,949306
2010-01-26;51,439999;51,709999;50,68;51,450001;1750500;37,846325
2010-01-27;51,25;51,360001;50,419998;51,080002;1665300;37,574158
2010-01-28;51,139999;51,310001;50,200001;50,799999;1582900;37,368183
2010-01-29;50,880001;51,130001;50,34;50,75;2364300;37,331409
2010-02-01;50,93;51,299999;50,380001;51,220001;1964100;37,677135
2010-02-02;51,34;51,560001;50,759998;51,490002;1524100;37,875751
2010-02-03;51,34;51,34;50,709999;50,830002;757100;37,390263
2010-02-04;50,59;50,639999;49,560001;49,57;1898100;36,463402
2010-02-05;49,669998;49,779999;48,73;49,68;3613500;36,544315
2010-02-08;49,57;49,700001;49,009998;49,009998;1136800;36,05146
2010-02-09;49,5;50,18;49,23;49,59;1166300;36,478119
2010-02-10;49,610001;49,610001;48,720001;49,259998;1091100;36,235367
2010-02-11;49,119999;49,880001;48,560001;49,77;1354900;36,610527
2010-02-12;49,490002;49,59;48,98;49,48;2110800;36,39719
2010-02-16;49,889999;50,700001;48,939999;49;4835000;36,044121
2010-02-17;49,099998;49,099998;47,939999;48,189999;4002700;35,448288
2010-02-18;48,060001;48,290001;47,549999;48,130001;2694500;35,404148
2010-02-19;48,189999;49,349998;47,959999;48,950001;2888700;36,007336
2010-02-22;49,169998;49,279999;48,59;48,630001;2569800;35,771946
2010-02-23;48,599998;48,990002;48,209999;48,240002;2183300;35,485062
2010-02-24;48,389999;49,080002;48,119999;48,529999;2501800;35,698387
2010-02-25;47,900002;50,939999;47,549999;50,32;4572800;37,015091
2010-02-26;50,27;50,27;49,150002;49,169998;3376200;36,169155
2010-03-01;49,200001;49,580002;49,119999;49,299999;2559500;36,264786
2010-03-02;49,360001;49,5;48,619999;48,790001;3512500;35,889641
2010-03-03;48,779999;49,060001;48,619999;48,939999;2218600;35,999969
2010-03-04;48,68;49,07;48,380001;48,810001;1962300;35,904354
2010-03-05;49,009998;49,830002;48,860001;49,73;2281300;36,581093
2010-03-08;51,360001;51,740002;50,91;51;3446700;37,515301
2010-03-09;50,98;50,98;50,48;50,650002;3347400;37,257843
2010-03-10;50,57;50,73;50,25;50,68;2198700;37,279911
2010-03-11;50,459999;50,669998;50,189999;50,59;1171400;37,213707
2010-03-12;50,84;51,029999;50,220001;50,27;1558200;36,978317
2010-03-15;50,279999;50,48;50,099998;50,25;1413400;36,9636
2010-03-16;49,860001;50,380001;49,75;50,330002;1621300;37,312035
2010-03-17;50,209999;50,43;50;50,310001;1982200;37,297211
2010-03-18;50,16;50,84;50,16;50,75;1252900;37,623405
2010-03-19;50,5;51,09;50,169998;50,5;2326300;37,438068
2010-03-22;50,09;50,5;50;50,310001;1334500;37,297211
2010-03-23;50,240002;50,240002;49,84;50,060001;2034600;37,11187
2010-03-24;49,939999;49,939999;49,27;49,57;2602700;36,748615
2010-03-25;49,790001;50,25;48,66;48,740002;2716700;36,133301
2010-03-26;48,900002;49,43;48,720001;49,150002;2501600;36,437248
2010-03-29;49,25;50,5;49,150002;50,439999;2097200;37,393597
2010-03-30;50,43;50,869999;50,189999;50,259998;1899000;37,260136
2010-03-31;50,09;50,310001;49,759998;49,900002;1688900;36,993259
2010-04-01;50,02;50,759998;50,02;50,700001;1392400;37,586334
2010-04-05;50,740002;51,259998;50,720001;51,25;1574700;37,99408
2010-04-06;50,990002;51,43;50,860001;51,360001;1640600;38,075626
2010-04-07;51,380001;51,419998;50,779999;50,849998;2310300;37,697529
2010-04-08;50,73;50,73;50,09;50,310001;1248300;37,297211
2010-04-09;50,23;50,540001;49,849998;50,490002;1611600;37,430656
2010-04-12;50,619999;50,740002;50,439999;50,48;1312800;37,423237
2010-04-13;50,349998;50,709999;49,93;50,150002;1471000;37,178589
2010-04-14;50,02;50,200001;49,59;49,790001;1543700;36,91172
2010-04-15;49,75;49,93;49,560001;49,66;1628100;36,815327
2010-04-16;49,59;49,82;49,060001;49,099998;1421900;36,400192
2010-04-19;49,009998;49,549999;48,849998;49,5;1249200;36,69672
2010-04-20;49,75;49,990002;49,439999;49,959999;1786700;37,037739
2010-04-21;49,990002;50,330002;49,939999;50,150002;1211200;37,178589
2010-04-22;50,07;50,240002;49,580002;50,130001;1222000;37,163765
2010-04-23;50,02;50,490002;49,75;50,490002;955800;37,430656
2010-04-26;50,470001;50,5;50,150002;50,200001;781200;37,215664
2010-04-27;50;50,080002;49;49,02;1391400;36,340874
2010-04-28;48,84;49,869999;47,16;49,5;6491100;36,69672
2010-04-29;49,529999;50,110001;48,860001;49,43;2553600;36,644836
2010-04-30;49,41;49,639999;49,040001;49,18;2144000;36,459496
2010-05-03;49,290001;50,779999;49,040001;50,369999;2935300;37,341694
2010-05-04;49,830002;50,209999;48,619999;48,950001;3027800;36,288982
2010-05-05;48,810001;49,130001;47,98;48,130001;4408000;35,681076
2010-05-06;47,860001;48,150002;45,02;47,040001;4119300;34,873009
2010-05-07;47;47,619999;46,099998;46,439999;3619700;34,428192
2010-05-10;47,220001;47,970001;46,880001;47,48;2059300;35,199188
2010-05-11;47,099998;47,75;46,939999;47,299999;1573700;35,065758
2010-05-12;47,330002;47,610001;46,990002;47,169998;2625600;34,969383
2010-05-13;47,18;48,220001;46,91;47,41;1651300;35,147297
2010-05-14;47,369999;47,580002;46,919998;47,209999;1997700;34,999043
2010-05-17;47,25;47,450001;46,299999;47,16;2021700;34,961956
2010-05-18;47,400002;48,07;47,23;47,299999;2834800;35,065758
2010-05-19;47,200001;48,040001;47,049999;47,34;4133700;35,095413
2010-05-20;46,549999;46,73;45,740002;45,799999;3833200;33,953735
2010-05-21;45,439999;46,240002;45,119999;46,099998;3601800;34,176132
2010-05-24;46,029999;46,560001;45,439999;45,48;2508200;33,716507
2010-05-25;44,740002;45,099998;43,91;45,07;2144100;33,412548
2010-05-26;45,41;45,700001;44,790001;44,959999;2086300;33,331001
2010-05-27;45,509998;45,82;45,150002;45,689999;1201400;33,8722
2010-05-28;45,66;46,490002;45,639999;46;1852400;34,102005
2010-06-01;45,77;45,849998;44,849998;44,849998;2214800;33,249443
2010-06-02;45,119999;45,799999;44,740002;45,779999;2108900;33,938904
2010-06-03;45,68;46,18;45,639999;46,07;1177600;34,153893
2010-06-04;45,32;45,580002;44,400002;44,509998;1810600;32,997398
2010-06-07;44,669998;45,529999;44,52;44,970001;2316000;33,338413
2010-06-08;44,93;46,5;44,740002;46,400002;4650300;34,39854
2010-06-09;46,630001;46,639999;46;46,23;4164500;34,272511
2010-06-10;46,68;47,66;46,68;47,610001;1636300;35,295574
2010-06-11;47,349998;48,169998;47,040001;48,110001;2693800;35,666245
2010-06-14;48,580002;49;48,139999;48,220001;1860500;35,747787
2010-06-15;48,5;49,200001;48,459999;49,150002;1680700;36,437248
2010-06-16;48,240002;49,529999;48,240002;49,23;1915300;36,788471
2010-06-17;49,41;50,060001;49,080002;49,970001;2280000;37,341454
2010-06-18;49,91;50,169998;49,630001;50,099998;1715300;37,438591
2010-06-21;50,360001;50,98;49;49,330002;2293100;36,863205
2010-06-22;49,200001;49,43;47,75;47,82;2359400;35,734802
2010-06-23;47,889999;48,23;47,669998;47,77;1702000;35,697441
2010-06-24;47,700001;48,860001;47,490002;47,950001;2957500;35,831955
