"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;18,57;18,969999;18,4;18,889999;11116900;12,03593
2010-01-05;18,860001;19,040001;18,43;18,52;14536200;11,800179
2010-01-06;18,43;18,639999;18,219999;18,389999;7171200;11,717349
2010-01-07;18,4;18,41;17,940001;18,040001;8556300;11,494345
2010-01-08;17,58;18,08;17,48;17,889999;11329000;11,398767
2010-01-11;18,26;18,65;18,219999;18,35;11497500;11,691864
2010-01-12;18,27;18,440001;17,57;17,719999;11522800;11,290453
2010-01-13;17,950001;18,299999;17,59;18,190001;8800200;11,58992
2010-01-14;18,16;18,49;18,01;18,34;6398700;11,68549
2010-01-15;18,309999;18,6;17,530001;17,77;13716200;11,322312
2010-01-19;17,879999;18,27;17,77;18,16;7802900;11,570805
2010-01-20;18,15;18,18;17,459999;17,76;16283900;11,315939
2010-01-21;19,84;20,299999;19,34;19,49;35144100;12,418222
2010-01-22;19,370001;19,620001;18,27;18,4;20111600;11,72372
2010-01-25;18,790001;19,059999;18,59;18,92;15582000;12,055045
2010-01-26;18,889999;19,620001;18,76;19,309999;16018200;12,303535
2010-01-27;19,219999;19,43;18,68;19,08;15416200;12,156989
2010-01-28;19,190001;19,280001;18,139999;18,360001;14128500;11,698235
2010-01-29;18,35;18,51;16,469999;16,709999;28653200;10,646923
2010-02-01;17,23;17,98;17,059999;17,9;18205800;11,405143
2010-02-02;17,879999;18,6;17,780001;18,58;17569900;11,838408
2010-02-03;18,370001;18,870001;18,26;18,84;16905200;12,004071
2010-02-04;18,17;18,48;17,780001;18,02;21505800;11,481602
2010-02-05;18,1;18,190001;17,469999;18,02;23836800;11,481602
2010-02-08;18,049999;18,74;17,84;18,18;14937100;11,583549
2010-02-09;18,559999;18,74;18,219999;18,33;12415000;11,67912
2010-02-10;18,360001;18,66;18,17;18,48;9770100;11,774692
2010-02-11;18,49;18,83;18,190001;18,76;8142000;11,9531
2010-02-12;18,549999;18,870001;18,15;18,700001;11482500;11,91487
2010-02-16;18,799999;19,84;18,799999;19,73;19036400;12,571143
2010-02-17;19,940001;20,049999;19,549999;20;13328300;12,743176
