"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,02;16,17;15,89;16,120001;1418700;15,237273
2010-01-05;16,08;16,129999;15,86;15,92;2431600;15,048227
2010-01-06;15,94;16,17;15,72;16,129999;2836900;15,246725
2010-01-07;15,6;16,200001;15,1;15,97;3870700;15,09549
2010-01-08;15,88;15,88;15,55;15,66;2100300;14,802463
2010-01-11;15,66;15,8;15,53;15,69;1536000;14,830819
2010-01-12;15,63;15,75;15,52;15,65;1762900;14,793011
2010-01-13;15,64;16;15,61;15,91;1518800;15,038774
2010-01-14;15,98;16,48;15,98;16,33;2467000;15,435775
2010-01-15;16,370001;16,549999;16,290001;16,41;2384700;15,511394
2010-01-19;16,379999;16,84;16,379999;16,82;2334600;15,898942
2010-01-20;16,66;16,84;16,540001;16,83;2655400;15,908393
2010-01-21;16,719999;17,040001;16,719999;16,790001;2402300;15,870584
2010-01-22;16,82;16,85;16,5;16,610001;2110100;15,700442
2010-01-25;16,799999;16,799999;16,459999;16,610001;1274300;15,700442
2010-01-26;16,469999;16,620001;16,41;16,42;1001200;15,520844
2010-01-27;16,4;16,48;16,059999;16,34;1120600;15,445229
2010-01-28;16,41;16,450001;16,1;16,17;734700;15,284534
2010-01-29;16,23;16,27;16,030001;16,08;1461400;15,199463
2010-02-01;16,18;16,290001;16,07;16,23;991900;15,341252
2010-02-02;16,280001;16,42;16,120001;16,389999;829100;15,492488
2010-02-03;16,360001;16,42;16,190001;16,309999;685200;15,416869
2010-02-04;16,16;16,200001;15,41;15,45;1993900;14,603963
2010-02-05;15,4;15,51;14,95;15,33;3211500;14,490534
2010-02-08;15,37;15,37;14,87;14,93;2205700;14,112438
2010-02-09;15,17;15,33;14,96;15,2;1509800;14,367651
2010-02-10;15,17;15,24;14,91;15,13;1615800;14,301488
2010-02-11;15,18;15,53;15,08;15,49;1351500;14,641774
2010-02-12;15,38;15,59;15,28;15,36;1974200;14,518892
2010-02-16;15,43;15,61;15,37;15,61;839500;14,755201
2010-02-17;15,65;15,84;15,55;15,68;1360400;14,821367
2010-02-18;15,61;15,8;15,56;15,59;1448000;14,736297
2010-02-19;15,48;15,63;15,33;15,6;1589900;14,745749
2010-02-22;15,61;15,68;15,47;15,53;958400;14,679584
2010-02-23;15,46;15,46;15,03;15,22;2240000;14,386559
2010-02-24;15,24;15,25;14,96;15,02;2710900;14,19751
2010-02-25;14,85;14,91;14,6;14,83;4360100;14,017916
2010-02-26;14,9;15,09;14,83;15,04;1611600;14,216413
2010-03-01;15,15;15,26;15,06;15,26;1071100;14,424369
2010-03-02;15,29;15,52;15,21;15,47;1365000;14,622869
2010-03-03;15,45;15,66;15,42;15,43;1498400;14,585059
2010-03-04;15,39;15,59;15,36;15,57;1096800;14,717395
2010-03-05;15,65;15,85;15,58;15,81;1118700;14,944252
2010-03-08;15,82;15,83;15,67;15,78;1596600;14,915892
2010-03-09;15,71;15,92;15,67;15,81;1815500;14,944252
2010-03-10;15,83;15,88;15,54;15,62;1849300;14,764654
2010-03-11;15,55;15,83;15,54;15,83;1099400;14,963153
2010-03-12;15,83;16,139999;15,83;16,110001;1627100;15,22782
2010-03-15;16,059999;16,23;15,96;16,129999;1076600;15,246725
2010-03-16;16,110001;16,23;15,99;16,17;822600;15,284534
2010-03-17;16,18;16,280001;16,09;16,24;828400;15,350702
2010-03-18;16,030001;16,299999;16,030001;16,190001;1519200;15,303445
2010-03-19;16;16,309999;15,96;16;1731400;15,123848
2010-03-22;15,91;16,15;15,85;16,110001;1286400;15,22782
2010-03-23;16,08;16,389999;16,030001;16,370001;1070200;15,473586
2010-03-24;16,280001;16,379999;16,129999;16,219999;1045000;15,331798
2010-03-25;16,35;16,389999;16,16;16,18;1196500;15,293988
2010-03-26;16,200001;16,23;16;16,01;1117000;15,133298
2010-03-29;16,059999;16,35;16,049999;16,309999;987200;15,416869
2010-03-30;16,360001;16,57;16,360001;16,42;957300;15,520844
2010-03-31;16,389999;16,559999;16,280001;16,440001;1369700;15,539752
2010-04-01;16,51;16,6;16,33;16,5;1212600;15,596461
2010-04-05;16,51;16,719999;16,43;16,67;823200;15,75716
2010-04-06;16,74;17,01;16,6;17;1490000;16,069086
2010-04-07;16,9;17,120001;16,83;16,84;1657700;15,91785
2010-04-08;16,85;17;16,77;16,85;2216200;15,927297
2010-04-09;15,98;16,540001;15,95;16,43;4917600;15,530296
2010-04-12;16,469999;17,23;16,280001;17,15;3923200;16,210871
2010-04-13;17,09;17,15;16,889999;17,07;2339200;16,135254
2010-04-14;17,049999;17,26;16,969999;17,26;2021700;16,314848
2010-04-15;17,24;17,440001;17,15;17,280001;1765300;16,333752
2010-04-16;17,200001;17,32;16,870001;17,02;2093000;16,087992
2010-04-19;17,02;17,73;16,969999;17,59;3283500;16,62678
2010-04-20;17,65;18,450001;17,610001;18,209999;4104700;17,212826
2010-04-21;18,15;18,360001;18,120001;18,27;2681900;17,269539
2010-04-22;17,99;18,309999;17,82;18,309999;2534500;17,30735
2010-04-23;18,23;18,49;18,200001;18,34;2101300;17,335705
2010-04-26;18,23;18,469999;18,23;18,41;2152200;17,401875
2010-04-27;18,309999;18,48;18,129999;18,139999;2286400;17,146658
2010-04-28;18,23;18,299999;18,01;18,190001;1956600;17,193922
2010-04-29;18,290001;18,870001;18,290001;18,549999;2295700;17,534204
2010-04-30;18,5;18,66;18,27;18,27;2045300;17,269539
2010-05-03;18,360001;18,83;18,34;18,6;2147300;17,581472
2010-05-04;18,440001;18,540001;18,27;18,309999;2246300;17,30735
2010-05-05;18,15;18,48;18,040001;18,110001;2293500;17,118305
2010-05-06;18,09;18,34;16,709999;17,690001;3906100;16,721302
2010-05-07;17,66;17,719999;16,639999;16,709999;6050600;15,794967
2010-05-10;17,59;17,690001;17,15;17,41;4788100;16,456633
2010-05-11;17,309999;17,629999;17,25;17,49;3575500;16,532255
2010-05-12;18,16;18,32;17,91;18,110001;2442600;17,118305
2010-05-13;18,120001;18,4;18,030001;18,040001;1786900;17,052135
2010-05-14;17,969999;18,15;17,76;17,799999;3179700;16,825277
2010-05-17;17,799999;18,120001;17,620001;17,870001;2564500;16,891449
2010-05-18;18,01;18,24;17,74;17,75;1850800;16,778019
2010-05-19;17,68;17,73;17,24;17,360001;3080000;16,409372
2010-05-20;17,129999;17,129999;16,389999;16,43;3884800;15,530296
2010-05-21;16,059999;16,379999;15,84;16,299999;5574500;15,407416
2010-05-24;16,24;16,51;16,17;16,33;3091700;15,435775
2010-05-25;15,92;15,99;15,5;15,8;4569400;14,934799
2010-05-26;15,92;16,33;15,92;16,08;3058300;15,199463
2010-05-27;16,33;16,709999;16,32;16,700001;1801000;15,785514
2010-05-28;16,65;16,780001;16,530001;16,66;1617700;15,747707
2010-06-01;16,48;16,530001;16,120001;16,120001;2317800;15,237273
2010-06-02;16,15;16,43;16,110001;16,42;2308500;15,520844
2010-06-03;16,450001;16,59;16,309999;16,450001;1834000;15,549203
2010-06-04;16,09;16,27;15,79;15,86;3053500;14,991512
2010-06-07;15,84;16,290001;15,75;15,75;3832900;14,887539
2010-06-08;15,7;16,049999;15,65;16;3180700;15,123848
2010-06-09;16,1;16,4;15,99;16,040001;1903500;15,161655
2010-06-10;16,23;16,43;16,18;16,42;2071100;15,520844
2010-06-11;16,610001;16,879999;16,34;16,860001;2009500;15,936751
2010-06-14;16,9;17,120001;16,9;16,940001;1553700;16,012373
2010-06-15;17,02;17,030001;16,76;16,790001;2510200;15,870584
2010-06-16;16,639999;16,74;16,559999;16,639999;2048700;15,728802
2010-06-17;16,639999;16,639999;16,25;16,370001;2525900;15,473586
2010-06-18;16,35;16,450001;16,26;16,299999;2942300;15,407416
2010-06-21;16,459999;16,629999;16,25;16,32;1557900;15,426319
2010-06-22;16,42;16,540001;16,200001;16,23;1851600;15,341252
2010-06-23;16,209999;16,290001;15,89;16,219999;2492900;15,331798
2010-06-24;16,16;16,23;15,99;16,059999;1895200;15,180557
2010-06-25;16,120001;16,24;15,98;16,01;3773500;15,133298
2010-06-28;15,97;16,15;15,91;15,95;2011200;15,076584
2010-06-29;15,77;15,77;15,32;15,43;3072800;14,585059
2010-06-30;15,33;15,85;15,27;15,62;4561700;14,764654
2010-07-01;15,65;15,96;14,97;15,55;5307200;14,698486
2010-07-02;15,57;15,71;15,26;15,39;2555400;14,54725
2010-07-06;15,55;15,77;15,38;15,6;3170900;14,745749
2010-07-07;15,56;16,059999;15,56;16,040001;2155800;15,161655
2010-07-08;16,129999;16,23;15,82;16,049999;1970000;15,171108
2010-07-09;16,07;16,07;15,88;16,07;1495300;15,190012
2010-07-12;16,01;16,15;15,97;16,07;887500;15,190012
2010-07-13;16,200001;16,4;16,15;16,360001;1450100;15,464132
2010-07-14;16,299999;16,440001;16,209999;16,370001;963900;15,473586
2010-07-15;16,34;16,52;16,15;16,469999;1518000;15,568107
2010-07-16;16,389999;16,450001;16,200001;16,34;2399500;15,445229
2010-07-19;16,4;16,52;16,299999;16,52;2163300;15,615368
2010-07-20;16,32;16,74;16,290001;16,73;1495900;15,813867
2010-07-21;16,82;16,82;16,370001;16,530001;1428800;15,624822
2010-07-22;16,719999;16,91;16,629999;16,870001;1208700;15,946207
2010-07-23;16,860001;17,059999;16,799999;17,059999;1082100;16,125799
2010-07-26;17,049999;17,219999;16,950001;17,209999;1617600;16,267584
2010-07-27;16,969999;17,32;16,969999;17,309999;1456200;16,362108
2010-07-28;17,299999;17,299999;17;17,08;899100;16,144707
2010-07-29;17,16;17,17;16,799999;17,07;1093100;16,135254
2010-07-30;16,879999;17,139999;16,75;17,059999;1222300;16,125799
2010-08-02;17,25;17,43;17,24;17,42;1078800;16,466085
2010-08-03;17,32;17,41;17,18;17,32;775300;16,371561
2010-08-04;17,33;17,559999;17,299999;17,549999;1038100;16,588968
2010-08-05;17,48;17,48;17,209999;17,309999;896100;16,362108
2010-08-06;17,16;17,26;16,889999;17,25;1054100;16,305397
2010-08-09;17,27;17,379999;17,219999;17,370001;846800;16,418827
2010-08-10;17,209999;17,42;17,08;17,360001;748900;16,409372
2010-08-11;17,09;17,110001;16,85;16,9;914100;15,974563
2010-08-12;16,709999;16,940001;16,610001;16,91;1037400;15,984014
2010-08-13;16,799999;16,959999;16,700001;16,700001;828900;15,785514
2010-08-16;16,620001;16,620001;16,4;16,49;1141600;15,587014
2010-08-17;16,57;16,969999;16,549999;16,870001;813500;15,946207
2010-08-18;16,879999;16,92;16,639999;16,85;772000;15,927297
2010-08-19;16,74;16,780001;16,49;16,68;1025900;15,766612
2010-08-20;16,540001;16,719999;16,48;16,66;995500;15,747707
2010-08-23;16,74;16,82;16,610001;16,68;1003700;15,766612
2010-08-24;16,51;16,719999;16,41;16,610001;1343400;15,700442
2010-08-25;16,549999;16,82;16,370001;16,75;1685600;15,832773
2010-08-26;16,83;16,940001;16,57;16,68;1671800;15,766612
2010-08-27;16,74;16,870001;16,540001;16,84;1031600;15,91785
2010-08-30;16,84;17,26;16,549999;16,549999;841800;15,643726
2010-08-31;16,5;16,68;16,209999;16,66;2074300;15,747707
2010-09-01;16,85;17,08;16,639999;16,959999;1270700;16,031275
2010-09-02;16,969999;17,25;16,73;17,25;2028300;16,305397
2010-09-03;17,379999;17,49;17,18;17,41;1316400;16,456633
2010-09-07;17,33;17,33;16,969999;17,16;1577500;16,220324
2010-09-08;17,219999;17,23;16,969999;16,969999;1385500;16,040726
2010-09-09;17,16;17,16;16,83;17,049999;1381800;16,116346
2010-09-10;17,08;17,129999;16,91;17,08;847300;16,144707
2010-09-13;17,209999;17,360001;17,17;17,23;955800;16,286493
2010-09-14;17,200001;17,530001;17,16;17,49;1126600;16,532255
2010-09-15;17,43;17,719999;17,360001;17,700001;1454800;16,730757
2010-09-16;17,65;17,809999;17,450001;17,73;1333900;16,759111
2010-09-17;17,77;18;17,74;17,959999;4335000;16,976517
2010-09-20;17,959999;18,24;17,860001;18,24;1530900;17,241182
2010-09-21;18,190001;18,290001;18,1;18,15;1634700;17,156116
2010-09-22;18,110001;18,190001;17,99;18,110001;1139000;17,118305
2010-09-23;17,92;18,08;17,76;17,83;1224400;16,853632
2010-09-24;18,02;18,280001;18,02;18,110001;1747500;17,118305
2010-09-27;18,120001;18,17;17,959999;17,969999;1107500;16,98597
2010-09-28;18;18,01;17,709999;17,84;1673400;16,863081
2010-09-29;17,809999;17,9;17,709999;17,77;1172300;16,796923
2010-09-30;17,82;17,950001;17,59;17,690001;1142600;16,721302
2010-10-01;17,780001;17,860001;17,67;17,77;1566200;16,796923
2010-10-04;17,709999;17,85;17,6;17,66;1540500;16,692945
2010-10-05;17,74;17,85;17,620001;17,76;1853400;16,787466
2010-10-06;17,35;18,709999;17,35;18,52;4606800;17,505852
2010-10-07;18,629999;18,9;18,58;18,66;2026700;17,638186
2010-10-08;18,67;18,74;18,57;18,709999;1423300;17,685444
2010-10-11;18,690001;19,17;18,639999;19,110001;1673100;18,063545
2010-10-12;18,9;19,030001;18,379999;19,01;1768600;17,969025
2010-10-13;19,07;19,24;19,01;19,08;1713300;18,035183
2010-10-14;19,049999;19,16;18,92;19,02;1210400;17,97847
2010-10-15;19,049999;19,17;18,92;19,02;964100;17,97847
2010-10-18;18,99;19,41;18,75;19,41;1987000;18,347118
2010-10-19;19,17;19,27;19,01;19,07;2142900;18,02573
2010-10-20;19,129999;19,440001;19,01;19,309999;1220400;18,25259
2010-10-21;19,370001;19,540001;19,26;19,33;1699800;18,271502
2010-10-22;19,33;19,370001;19,18;19,290001;1002500;18,233686
2010-10-25;19,43;19,709999;19,389999;19,5;2037000;18,43219
2010-10-26;19,379999;19,530001;19,24;19,35;1729400;18,290396
2010-10-27;19,200001;19,209999;18,85;18,959999;1570900;17,921759
2010-10-28;19,09;19,33;18,870001;19,040001;1411000;17,997379
2010-10-29;19,07;19,84;19,07;19,73;4080600;18,649591
2010-11-01;19,68;19,82;19,5;19,65;2218500;18,573973
2010-11-02;19,83;19,84;19,51;19,52;1884900;18,451094
2010-11-03;19,57;19,66;19,370001;19,530001;1333400;18,460546
2010-11-04;19,67;19,969999;19,530001;19,950001;2135500;18,857544
2010-11-05;19,83;20,08;19,799999;20,07;1908100;18,970972
2010-11-08;19,889999;20,1;19,83;20,040001;1424700;18,942617
2010-11-09;20,01;20,09;19,860001;19,9;1520300;18,810284
2010-11-10;19,879999;19,9;19,67;19,889999;1494100;18,800831
2010-11-11;19,780001;20,17;19,75;20,16;1328100;19,056046
2010-11-12;20;20,01;19,57;19,85;2231300;18,76302
2010-11-15;19,870001;20,42;19,870001;20,309999;2008900;19,19783
2010-11-16;20,24;20,35;19,639999;19,65;2290200;18,573973
2010-11-17;19,67;20,07;19,67;19,879999;1999900;18,791374
2010-11-18;20,18;20,92;20,17;20,780001;2159600;19,642097
2010-11-19;20,76;20,969999;20,690001;20,74;1413000;19,604286
2010-11-22;20,690001;20,809999;20,58;20,76;1429700;19,623192
2010-11-23;20,6;20,639999;20,43;20,549999;1144800;19,424688
2010-11-24;20,629999;21,01;20,629999;21,01;950100;19,859499
2010-11-26;20,82;20,84;20,639999;20,73;440400;19,594833
2010-11-29;20,549999;20,809999;20,43;20,73;1767400;19,594833
2010-11-30;20,5;20,74;20,379999;20,610001;1626700;19,4814
2010-12-01;20,870001;21,110001;20,84;21,08;1007600;19,925667
2010-12-02;21,01;21,42;20,98;21,309999;1631200;20,143074
2010-12-03;21,26;21,91;21,26;21,799999;2151200;20,606241
