"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;28,200001;28,4;28;28,1;2459700;20,755287
2010-01-05;28,01;28,129999;27,82;27,98;3789000;20,666649
2010-01-06;27,889999;28,15;27,76;28,059999;2833300;20,725737
2010-01-07;28,01;28,1;27,75;28,09;3108200;20,7479
2010-01-08;28,08;28,08;27,780001;27,91;2018500;20,614946
2010-01-11;28,07;28,07;27,76;27,85;2830600;20,570627
2010-01-12;27,780001;27,870001;27,58;27,700001;3348500;20,459829
2010-01-13;27,700001;28,030001;27,700001;28;2877100;20,681425
2010-01-14;28,040001;28,219999;27,83;28,18;2024600;20,814375
2010-01-15;28,219999;28,32;27,950001;28,129999;2962200;20,777437
2010-01-19;28,139999;28,5;28,07;28,389999;2373000;20,969484
2010-01-20;28,209999;28,48;28,07;28,43;3231200;20,999025
2010-01-21;28,5;28,790001;27,75;27,799999;5674300;20,533691
2010-01-22;27,799999;27,950001;27,450001;27,469999;3961400;20,289951
2010-01-25;27,74;27,950001;27,549999;27,76;3723400;20,504156
2010-01-26;27,59;27,77;27,540001;27,6;2755800;20,385973
2010-01-27;27,52;27,639999;27,360001;27,610001;3042000;20,39336
2010-01-28;27,629999;27,74;27,309999;27,540001;2713300;20,341656
2010-01-29;27,620001;28,24;27,41;27,99;5262400;20,67403
2010-02-01;29,129999;29,58;28,120001;28,370001;4867300;20,954708
2010-02-02;28,370001;28,41;27,959999;28,16;3858200;20,799604
2010-02-03;28,08;28,08;27,719999;27,799999;4014600;20,533691
2010-02-04;27,6;27,690001;27,290001;27,290001;4725600;20,157
2010-02-05;27,200001;27,4;26,99;27,209999;5184200;20,097906
2010-02-08;27,209999;27,360001;27;27;3636000;19,942795
2010-02-09;27,26;27,559999;27,200001;27,33;3986000;20,186546
2010-02-10;27,280001;27,58;27,1;27,42;2603300;20,253016
2010-02-11;27,43;27,629999;27,16;27,59;2168700;20,378584
2010-02-12;27,4;27,620001;27,209999;27,540001;3504300;20,341656
2010-02-16;27,74;28,18;27,57;28,18;3251500;20,814375
2010-02-17;28,440001;28,719999;28,120001;28,469999;3499300;21,028572
2010-02-18;28,35;28,51;28,290001;28,51;1697700;21,058119
2010-02-19;28,41;29,190001;28,35;29,139999;4561300;21,523445
2010-02-22;29,24;29,24;28,780001;29;3335400;21,420044
2010-02-23;29;29,139999;28,57;28,92;3700100;21,360958
2010-02-24;28,940001;29,02;28,719999;28,969999;2479000;21,397892
2010-02-25;28,790001;29,209999;28,360001;29,209999;4292900;21,575157
2010-02-26;29,24;29,24;28,82;28,9;3585800;21,346174
2010-03-01;28,92;29,07;28,77;28,969999;2863500;21,397892
