"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;25,690001;25,870001;25,4;25,809999;4550800;19,443878
2010-01-05;25,709999;26,219999;25,59;26,18;7023400;19,722616
2010-01-06;25,950001;26,91;25,950001;26,58;7824000;20,139351
2010-01-07;26,530001;27,959999;26,42;27,65;9981500;20,950073
2010-01-08;27,52;27,799999;26,98;27,34;5948300;20,715189
2010-01-11;27,540001;27,540001;27;27,34;4074200;20,715189
2010-01-12;27,139999;27,799999;27,139999;27,43;8415800;20,783382
2010-01-13;27,41;28;27,34;27,9;5030400;21,139502
2010-01-14;27,75;28,639999;27,75;28,52;5784200;21,609262
2010-01-15;28,290001;28,379999;27,629999;27,76;7970000;21,033417
2010-01-19;27,59;28,190001;27,5;28,17;6210700;21,344069
2010-01-20;27,98;28,629999;27,75;28,5;6385100;21,594107
2010-01-21;28,5;29,85;28,5;29,08;18024900;22,033566
2010-01-22;28,99;29,280001;27,290001;28,15;16433600;21,328915
2010-01-25;28,389999;28,67;27,34;27,57;11303800;20,88946
2010-01-26;27,389999;27,76;26,719999;26,799999;10534100;20,306044
2010-01-27;27,08;28,450001;27;28,280001;12624400;21,427416
2010-01-28;28,280001;28,790001;28,049999;28,32;11803700;21,457724
2010-01-29;28,360001;28,5;27,799999;27,870001;7489100;21,116764
2010-02-01;28;28,32;27,85;28,219999;6697800;21,381952
2010-02-02;28,25;28,5;27,940001;28,42;8551200;21,533491
2010-02-03;28,25;28,34;27,610001;27,799999;7098300;21,063723
2010-02-04;27,59;27,84;26,82;26,93;9222500;20,404539
2010-02-05;27,030001;27,77;26,76;27,51;8191000;20,843992
2010-02-08;27,5;27,799999;27,110001;27,129999;5785400;20,556068
2010-02-09;27,370001;27,610001;26,940001;27,200001;6255300;20,609116
2010-02-10;27,18;27,74;27,09;27,370001;4674400;20,737921
2010-02-11;27,48;27,48;27,07;27,190001;4456000;20,601536
2010-02-12;27;27,219999;26,610001;26,92;6218400;20,396959
2010-02-16;27,139999;27,43;26,879999;27,41;5202500;20,768223
2010-02-17;27,35;27,469999;27,049999;27,219999;4871200;20,624268
2010-02-18;27,059999;27,389999;27,049999;27,25;3649800;20,647003
2010-02-19;27,110001;27,450001;27,1;27,309999;4684500;20,692459
2010-02-22;27,34;28,41;27,200001;28,209999;7221700;21,374376
2010-02-23;28,07;28,34;27,620001;27,75;6083700;21,025841
