"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;55,68;55,93;55,130001;55,490002;288400;48,520569
2010-01-05;55,48;55,5;54,869999;54,900002;205900;48,004681
2010-01-06;54,93;55,529999;54,740002;55,450001;303400;48,485603
2010-01-07;55,610001;56,07;55,349998;55,959999;110100;48,931541
2010-01-08;55,939999;56,330002;55,799999;56,290001;66600;49,2201
2010-01-11;57,619999;61,470001;57,23;60,689999;448700;53,067459
2010-01-12;60,580002;61,52;60,029999;60,18;196700;52,621521
2010-01-13;60,610001;61,310001;58,82;60;118100;52,464127
2010-01-14;60,09;60,41;59,459999;59,810001;191300;52,297993
2010-01-15;59,419998;59,98;58,77;58,82;225900;51,43232
2010-01-19;59;60,889999;59;60,84;213600;53,198624
2010-01-20;60,630001;60,720001;59,669998;60,580002;111400;52,971283
2010-01-21;60,369999;61,099998;59,720001;60,110001;124400;52,560314
2010-01-22;59,919998;59,93;58,630001;58,82;177100;51,43232
2010-01-25;58,939999;59,290001;58,16;58,529999;156300;51,178749
2010-01-26;58,32;59,02;58,169998;58,549999;103800;51,196236
2010-01-27;58,360001;58,619999;58;58,43;154300;51,091301
2010-01-28;58,43;58,669998;58;58,310001;72100;50,986389
2010-01-29;58,189999;58,720001;56,990002;57,16;235600;49,980827
2010-02-01;57,32;57,799999;56,779999;57,720001;113500;50,47049
2010-02-02;57,59;58,740002;57,59;58,540001;71500;51,187511
2010-02-03;58,57;58,889999;57,77;58,299999;68300;50,977642
2010-02-04;58;58,049999;56,889999;56,939999;85800;49,788452
2010-02-05;56,84;56,889999;55,990002;56,77;144600;49,639816
2010-02-08;56,98;57,68;56,689999;57,220001;122700;50,033298
2010-02-09;57,389999;57,919998;57,049999;57,849998;115300;50,584167
2010-02-10;57,549999;57,799999;57,110001;57,369999;77400;50,164459
2010-02-11;57,25;57,82;57,060001;57,75;75000;50,496716
2010-02-12;57,27;57,900002;56,880001;57,849998;132300;50,584167
2010-02-16;58,150002;59,189999;57,549999;59,099998;82900;51,677162
2010-02-17;59,349998;59,490002;58,93;59,09;120400;51,668427
2010-02-18;59,279999;59,279999;57,209999;59,02;242200;51,607224
2010-02-19;58,950001;59,759998;58,700001;59,75;114700;52,245514
2010-02-22;59,98;60,02;59,34;59,639999;83800;52,149342
2010-02-23;59,43;60;58,84;59,799999;159800;52,289234
2010-02-24;59,799999;60,48;58,639999;59,740002;212100;52,236786
2010-02-25;59,200001;59,84;57,759998;59,689999;128300;52,193073
2010-02-26;59,889999;61,07;59,619999;60,939999;153400;53,286053
2010-03-01;60,849998;61,450001;60,650002;61,34;115800;53,936756
2010-03-02;61,630001;63,32;61,630001;63,23;228600;55,59864
2010-03-03;63;63,66;62,900002;63,209999;152700;55,581055
