"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,559999;16,709999;16,139999;16,209999;1835200;11,202358
2010-01-05;16,200001;16,299999;16,01;16,190001;1665600;11,188538
2010-01-06;16,219999;16,42;15,96;16,08;1889000;11,112517
2010-01-07;16,040001;16,42;15,82;16,200001;1792000;11,195448
2010-01-08;16,040001;16,18;15,77;15,88;1099800;10,974304
2010-01-11;16,09;16,25;15,96;15,99;1531200;11,050322
2010-01-12;16,17;16,24;15,52;15,6;2410800;10,780802
2010-01-13;15,43;15,96;15,35;15,87;1949500;11,095414
2010-01-14;15,73;15,84;15,61;15,74;1234000;11,004526
2010-01-15;15,62;15,74;15,44;15,55;1531600;10,871689
2010-01-19;15,61;15,97;15,51;15,93;1855900;11,137365
2010-01-20;15,8;15,82;15,46;15,77;1500100;11,025499
2010-01-21;15,76;15,92;15,34;15,36;2653500;10,738851
2010-01-22;15,44;15,55;14,93;14,97;1828500;10,466184
2010-01-25;15,28;15,47;14,85;15,29;1979500;10,689913
2010-01-26;15,15;15,35;14,94;15,19;2069400;10,619996
2010-01-27;15,16;15,4;14,92;15,4;1789600;10,766818
2010-01-28;15,4;15,64;15,22;15,44;2003200;10,794784
2010-01-29;15,52;15,7;15,37;15,56;2573400;10,878679
2010-02-01;15,67;15,87;15,57;15,75;1844100;11,011518
2010-02-02;15,44;16,09;15,44;16,049999;1547500;11,22126
2010-02-03;15,93;15,94;15,43;15,71;1881500;10,983552
2010-02-04;15,54;15,73;15,31;15,33;3858200;10,717877
2010-02-05;15,36;15,81;15,21;15,81;4798600;11,053469
2010-02-08;15,72;15,96;15,48;15,52;2499600;10,850716
2010-02-09;15,8;15,8;14,99;15,09;4455200;10,55008
2010-02-10;14,98;15,15;14,48;14,7;2427300;10,277415
2010-02-11;14,65;15,06;14,47;15,05;2589100;10,522116
2010-02-12;14,9;15,25;14,76;15,15;3174900;10,592031
2010-02-16;15,34;15,78;15,12;15,76;2689100;11,018511
2010-02-17;15,77;16,049999;15,71;15,98;1880300;11,172321
2010-02-18;15,96;16,35;15,78;16,25;1486300;11,361092
2010-02-19;16,190001;16,4;16,08;16,309999;2532900;11,403036
2010-02-22;16,4;16,57;16,190001;16,48;2141700;11,521891
2010-02-23;16,459999;16,559999;16,290001;16,5;1853300;11,535876
2010-02-24;16,52;16,73;16,459999;16,709999;1598700;11,682694
2010-02-25;16,49;16,700001;16,379999;16,67;1633500;11,654731
2010-02-26;16,629999;16,950001;16,48;16,799999;2227700;11,745615
2010-03-01;16,84;16,98;16,68;16,780001;1512300;11,731638
2010-03-02;16,809999;16,84;16,65;16,74;1114300;11,703671
2010-03-03;16,75;16,77;16,559999;16,559999;1133800;11,577823
2010-03-04;16,59;16,709999;16,48;16,52;1751500;11,54986
2010-03-05;16,629999;16,98;16,52;16,940001;2811500;11,8435
2010-03-08;16,860001;17,24;16,75;17,120001;1515500;11,969347
2010-03-09;17,049999;17,370001;16,940001;17,059999;3724300;11,927398
2010-03-10;17,139999;17,26;16,9;17;3167300;11,885448
2010-03-11;16,879999;17,290001;16,85;17,26;1495000;12,067225
2010-03-12;17,34;17,440001;17,139999;17,309999;1327200;12,102184
2010-03-15;17,290001;17,41;16,9;17,219999;1231800;12,03926
2010-03-16;17,290001;17,84;17,219999;17,799999;1674400;12,444762
2010-03-17;17,719999;18,030001;17,09;17,84;1793700;12,472732
2010-03-18;17,76;18;17,66;17,77;1482800;12,423791
2010-03-19;17,77;17,83;17,57;17,77;2503600;12,423791
2010-03-22;17,6;17,860001;17,559999;17,780001;1855100;12,430782
2010-03-23;17,74;17,809999;17,469999;17,73;1585800;12,39582
2010-03-24;17,639999;17,84;17,58;17,790001;1600800;12,437772
2010-03-25;17,870001;18,26;17,870001;17,969999;2194000;12,563617
2010-03-26;18,049999;18,25;17,93;18,049999;2124800;12,619549
