"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;31,379999;31,6;30,969999;31,530001;12199500;27,007914
2010-01-05;31,73;31,969999;31,280001;31,48;11180700;26,965084
2010-01-06;31,6;32,060001;31,41;31,790001;9761100;27,230623
2010-01-07;31,59;33,049999;31,59;33,009998;11789800;28,275644
2010-01-08;32,860001;32,919998;32,34;32,700001;7228700;28,010105
2010-01-11;32,709999;33,130001;32,700001;32,919998;7206900;28,198557
2010-01-12;32,700001;32,91;31,540001;32,049999;13121500;27,453331
2010-01-13;31,99;32,549999;31,68;32,540001;8797200;27,873055
2010-01-14;32,68;33,330002;32,330002;33,32;8818300;28,541185
2010-01-15;33,540001;33,990002;33,099998;33,75;19382000;28,909519
2010-01-19;34,560001;35,900002;34,5;35,130001;26477900;30,091591
2010-01-20;35,939999;36,07;34,290001;34,549999;26854700;29,594778
2010-01-21;35,43;35,689999;33;33,099998;29192700;28,352743
2010-01-22;33,82;34,110001;33,099998;33,16;21021600;28,404144
2010-01-25;33,560001;33,720001;32,959999;33;10925800;28,267084
2010-01-26;32,509998;32,91;32,439999;32,439999;11057200;27,787397
2010-01-27;32,34;33,529999;32,110001;33,240002;14387100;28,472666
2010-01-28;33,330002;34,09;33,040001;33,43;16742100;28,635408
2010-01-29;33,419998;33,799999;32,959999;33;11931500;28,267084
2010-02-01;33,029999;33,41;32,220001;33,130001;13710200;28,378433
2010-02-02;33,139999;34,119999;32,93;34,049999;12114600;29,166485
2010-02-03;34,049999;34,049999;32,82;33,32;8410400;28,541185
2010-02-04;33,240002;33,240002;32,389999;32,459999;10648500;27,804525
2010-02-05;32,419998;32,630001;31,84;32,540001;12666000;27,873055
2010-02-08;32,23;32,950001;32,23;32,41;9558200;27,761703
2010-02-09;32,720001;33,060001;32;33;11236500;28,267084
2010-02-10;33;33,169998;32,299999;32,709999;10755200;28,018675
2010-02-11;32,709999;33,200001;32,439999;33,119999;7857600;28,369875
2010-02-12;32,779999;32,849998;32,029999;32,18;11688700;27,56469
2010-02-16;32,330002;32,599998;31,389999;31,629999;13934200;27,093565
2010-02-17;31,68;33,209999;31,68;32,549999;11690900;27,881632
2010-02-18;32,23;32,990002;32,119999;32,689999;10327100;28,001532
2010-02-19;32,419998;32,77;31,83;31,940001;11508200;27,35911
2010-02-22;32,110001;33,119999;31,879999;33,080002;16338800;28,335609
2010-02-23;32,869999;33,169998;32,360001;32,810001;10746500;28,104334
2010-02-24;32,880001;33,66;32,360001;33,619999;10982600;28,798159
2010-02-25;33,32;33,98;32,84;33,450001;14779500;28,65254
2010-02-26;33,52;34,299999;33,360001;33,860001;9684700;29,00374
2010-03-01;34;34,720001;33,529999;34,040001;10970800;29,157927
2010-03-02;34,110001;34,369999;33,610001;33,950001;7081500;29,080828
2010-03-03;34,049999;34,349998;33,77;34,099998;8089700;29,209312
2010-03-04;34,049999;34,099998;32,419998;32,950001;17386600;28,224251
2010-03-05;33,029999;33,790001;32,959999;33,740002;8133300;28,900959
2010-03-08;33,740002;33,84;33,029999;33,099998;7734800;28,352743
2010-03-09;33,18;33,450001;33,07;33,080002;8770800;28,335609
2010-03-10;33,02;33,549999;32,939999;33,240002;7419000;28,472666
2010-03-11;33,09;33,560001;32,939999;33,5;14678000;28,695368
2010-03-12;33,68;33,740002;32,779999;32,91;9450400;28,189983
2010-03-15;32,779999;32,779999;31,93;32,529999;13520100;27,864496
2010-03-16;32,150002;33,110001;32,09;33,049999;12932100;28,309912
2010-03-17;33,16;33,16;32,259998;32,75;10614400;28,052937
2010-03-18;32,459999;33,689999;31,98;33,59;15407200;28,772465
2010-03-19;34,389999;34,700001;33,720001;34,389999;21827600;29,45772
2010-03-22;34,470001;35,16;33,209999;33,299999;20218800;28,524054
2010-03-23;33,360001;33,459999;32,959999;33,16;11409500;28,404144
2010-03-24;33,139999;33,34;32,720001;32,720001;10825800;28,027245
2010-03-25;32,759998;33,259998;32,599998;33,119999;14786200;28,369875
2010-03-26;33,099998;33,27;32,599998;32,630001;8751000;27,950151
2010-03-29;32,66;33,02;32,52;32,84;7967200;28,130033
2010-03-30;32,790001;33,290001;32,599998;33,060001;7253100;28,318483
2010-03-31;32,900002;33,110001;32,5;32,669998;6961600;27,984406
2010-04-01;32,799999;32,990002;32,52;32,990002;6713400;28,284489
2010-04-05;33,119999;33,220001;32,77;33,139999;6722000;28,413088
2010-04-06;33,27;34;33,25;33,41;9430900;28,644581
