"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;19,73;20,049999;19,549999;19,940001;3110300;16,155167
2010-01-05;19,85;20,290001;19,799999;20,23;1989000;16,390112
2010-01-06;20,25;20,51;20,190001;20,41;2435300;16,535957
2010-01-07;20,24;20,92;20,07;20,860001;3769600;16,900543
2010-01-08;20,799999;20,799999;20,41;20,58;2046300;16,673685
2010-01-11;20,58;20,99;20,58;20,959999;2172600;16,981558
2010-01-12;20,790001;21,24;20,790001;20,91;5054100;16,94105
2010-01-13;21,01;21,15;20,77;21,049999;2686700;17,054478
2010-01-14;20,950001;21,690001;20,950001;21,450001;5754800;17,378553
2010-01-15;21,41;21,790001;21,299999;21,389999;6101000;17,329939
2010-01-19;21,290001;21,92;21,26;21,639999;3621800;17,532488
2010-01-20;21,5;21,610001;21,17;21,530001;3954400;17,443367
2010-01-21;21,530001;21,559999;20,93;20,98;5031100;17,063141
2010-01-22;20,99;21,09;20,15;20,190001;3668400;16,420639
2010-01-25;20,48;20,610001;20,23;20,33;2502800;16,534496
2010-01-26;20,129999;20,41;19,76;19,799999;2908500;16,103445
2010-01-27;19,809999;20,01;19,450001;19,99;3471900;16,257973
2010-01-28;19,92;20,030001;19,59;19,610001;4037700;15,948918
2010-01-29;19,690001;20,110001;19,52;19,57;3336500;15,916383
2010-02-01;19,709999;20,139999;19,59;20,1;3175100;16,347441
2010-02-02;20,17;20,799999;20;20,67;3610400;16,811022
2010-02-03;20,450001;20,620001;19,75;19,950001;3713500;16,225445
2010-02-04;19,74;19,74;18,860001;18,9;4127100;15,371469
2010-02-05;18,9;19,23;18,559999;19,219999;4817000;15,631727
2010-02-08;19,18;19,219999;18,73;18,73;2748600;15,233212
2010-02-09;19,040001;19,379999;18,780001;19,01;3393200;15,460937
2010-02-10;19,040001;19,33;18,9;19,139999;3112000;15,56666
2010-02-11;19,139999;19,5;18,969999;19,42;2863200;15,79439
2010-02-12;19,110001;19,549999;18,780001;19,52;3630000;15,875725
2010-02-16;19,74;20,08;19,620001;20,08;3084100;16,331167
2010-02-17;20,629999;20,74;20,190001;20,530001;3316100;16,697157
2010-02-18;20,48;20,940001;20,4;20,92;3639500;17,014345
2010-02-19;20,85;21,07;20,67;21,01;2920300;17,087547
2010-02-22;20,93;21,1;20,870001;21,01;1603500;17,087547
2010-02-23;20,91;21,09;20,57;20,639999;3734800;16,786613
2010-02-24;20,77;20,99;20,639999;20,93;2771900;17,022488
2010-02-25;20,68;20,809999;20,42;20,780001;2800000;16,900482
2010-02-26;20,84;20,959999;20,620001;20,809999;2615300;16,924881
2010-03-01;20,889999;21,32;20,860001;21,309999;2535400;17,331535
2010-03-02;21,379999;21,43;21,16;21,299999;2507500;17,323397
2010-03-03;21,33;21,5;21,24;21,35;2825200;17,364067
2010-03-04;21,440001;21,68;21,290001;21,68;2267500;17,632458
2010-03-05;21,85;22,25;21,66;22,200001;3338500;18,055374
