"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;22,57;22,91;22,530001;22,879999;12891700;18,264494
2010-01-05;22,76;23,51;22,74;23,459999;14503500;18,727488
2010-01-06;23,43;23,870001;23,32;23,709999;12293600;18,927055
2010-01-07;23,639999;24,48;23,5;24,17;15241200;19,294256
2010-01-08;23,969999;24,26;23,74;24,209999;9935000;19,326195
2010-01-11;24,5;24,5;24,110001;24,32;8482600;19,414001
2010-01-12;24,18;24,540001;24,040001;24,309999;13119300;19,406015
2010-01-13;24,290001;24,889999;24,120001;24,709999;12736800;19,72533
2010-01-14;24,6;25,41;24,530001;25,33;13383700;20,220261
2010-01-15;25,219999;25,219999;24,459999;24,620001;13590500;19,653484
2010-01-19;24,49;24,77;24,09;24,49;15470200;19,549711
2010-01-20;24,799999;25,34;24,77;25,01;18602200;19,964809
2010-01-21;25,219999;25,74;24,66;25,139999;24864100;20,068584
2010-01-22;25,059999;26,84;24,57;24,67;20007400;19,693396
2010-01-25;25,01;25,129999;24,42;24,809999;13692400;19,805164
2010-01-26;24,389999;24,91;24,23;24,309999;15866800;19,406015
2010-01-27;24,17;25,23;24,120001;25,120001;19763800;20,052622
2010-01-28;25,23;25,370001;24,790001;24,99;17788000;19,948845
2010-01-29;25,200001;25,459999;24,889999;25,08;18317200;20,020687
2010-02-01;25,15;25,360001;24,9;25,18;12029500;20,100515
2010-02-02;25,16;25,309999;24,75;24,870001;14793600;19,853056
2010-02-03;24,76;24,85;24,219999;24,459999;12353800;19,525761
2010-02-04;24,290001;24,4;23,620001;23,65;20550000;18,879156
2010-02-05;23,83;24,25;23,280001;23,969999;22491200;19,134602
2010-02-08;23,92;24,030001;23,41;23,49;15753400;18,751438
2010-02-09;23,629999;23,860001;23,26;23,49;13742600;18,751438
2010-02-10;23,469999;23,879999;23,27;23,610001;12219500;18,847233
2010-02-11;23,67;23,700001;23,290001;23,49;8753400;18,751438
2010-02-12;23,25;23,389999;22,98;23,26;16552700;18,567835
2010-02-16;23,52;23,879999;23,219999;23,860001;11484600;19,046791
2010-02-17;23,84;23,889999;23,48;23,73;21960400;18,943022
2010-02-18;23,629999;24;23,530001;23,91;9075800;19,086706
2010-02-19;23,83;24,25;23,809999;24,139999;11805100;19,270313
2010-02-22;24,5;24,709999;24,26;24,549999;12844900;19,597603
2010-02-23;24,43;24,629999;24,200001;24,27;13288900;19,374088
2010-02-24;24,43;24,91;24,379999;24,780001;12020100;19,78121
2010-02-25;24,15;24,780001;24;24,299999;12541000;19,398037
2010-02-26;24,209999;24,709999;24,209999;24,610001;9446500;19,645502
2010-03-01;24,620001;24,73;24,389999;24,51;6843500;19,565674
2010-03-02;24,85;24,91;24,58;24,74;7907800;19,749279
2010-03-03;24,690001;24,91;24,610001;24,65;8391800;19,677427
2010-03-04;24,67;24,809999;24,549999;24,74;7836000;19,749279
2010-03-05;24,860001;25,25;24,639999;25,200001;9443000;20,116482
2010-03-08;25,15;25,309999;24,99;24,99;8185800;19,948845
2010-03-09;24,799999;24,879999;24,52;24,67;13248300;19,693396
2010-03-10;24,799999;25,200001;24,76;24,959999;11993900;19,924892
2010-03-11;24,870001;25,52;24,82;25,469999;14610600;20,332012
2010-03-12;25,690001;26;25,559999;25,67;14154500;20,491669
2010-03-15;25,59;25,98;25,450001;25,9;8366100;20,675274
2010-03-16;25,959999;26,139999;25,799999;26,120001;10743300;20,850897
2010-03-17;26,030001;26,32;25,9;26,209999;11859900;20,922739
2010-03-18;26,09;26,26;25,799999;25,99;8568200;20,747114
2010-03-19;26,139999;26,389999;25,77;26,139999;13977300;20,866858
2010-03-22;25,889999;26,379999;25,870001;26,219999;9702700;20,930716
2010-03-23;26,23;26,299999;25,940001;26,25;9573700;20,954672
2010-03-24;26,1;26,450001;26,1;26,190001;7370300;20,906771
2010-03-25;26,34;26,700001;26,129999;26,17;10567700;20,890802
2010-03-26;26,25;26,440001;25,83;26,049999;10817100;20,795019
2010-03-29;26,030001;26,15;25,799999;25,959999;6911400;20,763021
2010-03-30;25,98;26,209999;25,82;25,860001;9124000;20,683041
2010-03-31;25,709999;26;25,639999;25,879999;8451300;20,699039
2010-04-01;26,040001;26,26;25,870001;26,24;6820400;20,986965
2010-04-05;26,32;26,48;26,15;26,469999;7865900;21,170925
2010-04-06;26,379999;27,18;26,379999;27,08;12480200;21,65881
2010-04-07;27,139999;27,219999;26,48;26,700001;12376200;21,354885
2010-04-08;26,559999;27,290001;26,5;27,129999;14235300;21,698801
2010-04-09;27,15;27,27;26,879999;27,16;7429300;21,72279
2010-04-12;27,209999;27,610001;27,120001;27,51;11025600;22,002726
2010-04-13;27,43;27,639999;27,27;27,530001;13894100;22,018726
2010-04-14;27,709999;28,309999;27,66;28,25;14904200;22,59458
2010-04-15;28,24;28,43;28,01;28,26;18948600;22,602583
2010-04-16;28,18;28,25;26,66;27,450001;28892400;21,954735
2010-04-19;27,110001;27,700001;26,98;27,610001;15084900;22,082706
2010-04-20;27,33;28,389999;27,139999;28,209999;23544500;22,562593
2010-04-21;27,59;28,42;27,41;27,940001;21662500;22,346645
2010-04-22;27,639999;27,719999;27,09;27,370001;27278000;21,890753
2010-04-23;27,379999;27,440001;26,99;27,299999;11114300;21,834761
2010-04-26;27,23;27,43;26,790001;26,870001;11434400;21,490847
2010-04-27;26,66;26,98;26,15;26,23;20979600;20,978966
2010-04-28;26,58;26,93;26,4;26,57;12441500;21,250906
2010-04-29;26,870001;27,68;26,75;27,290001;18397900;21,826765
2010-04-30;27,389999;27,459999;26,75;26,77;17249800;21,410872
2010-05-03;26,959999;27,33;26,77;27,219999;11394000;21,770781
2010-05-04;26,870001;27,040001;26,27;26,5;19350300;21,19492
2010-05-05;26,17;26,809999;26,07;26,42;13252900;21,130932
