"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;15,767824;16,398537;15,639853;16,352833;15454500;12,402246
2010-01-05;16,563072;16,974405;16,425961;16,77331;17087200;12,721143
2010-01-06;16,809872;17,38574;16,599634;17,193785;16896900;13,040035
2010-01-07;17,166363;17,413162;16,800732;17,321754;12077800;13,137094
2010-01-08;17,303474;17,349176;16,937843;17,084095;13914200;12,95685
2010-01-11;17,239489;17,303474;16,654478;16,919561;10924500;12,832063
2010-01-12;16,608774;16,709324;16,261425;16,645338;10643800;12,624086
2010-01-13;16,636198;16,636198;16,142595;16,508226;16334700;12,5201
2010-01-14;16,508226;16,79159;16,361975;16,700182;9420900;12,665681
2010-01-15;16,681902;17,175503;16,590494;17,157221;21476500;13,012308
2010-01-19;17,138939;17,303474;16,974405;17,248629;13518600;13,081633
2010-01-20;17,084095;17,568556;17,020109;17,477148;19232000;13,254946
2010-01-21;17,440584;17,559416;16,937843;17,276051;14618500;13,102427
2010-01-22;17,084095;17,138939;16,535648;16,617916;15366200;12,603294
2010-01-25;16,755028;16,956125;16,499086;16,77331;10782600;12,721143
2010-01-26;16,691042;17,413162;16,617916;17,38574;22434700;13,18562
2010-01-27;17,221207;17,422304;16,755028;17,084095;25500800;12,95685
2010-01-28;17,047531;17,166363;16,453382;16,846436;16059700;12,776601
2010-01-29;16,873857;17,413162;16,809872;16,837294;16339100;12,769669
2010-02-01;17,056673;17,541134;17,047531;17,513712;13116400;13,282677
2010-02-02;17,559416;17,650824;17,202925;17,60512;12607900;13,352
2010-02-03;17,303474;17,50457;17,038391;17,312614;8913000;13,130162
2010-02-04;17,038391;17,111517;16,526508;16,55393;10470100;12,55476
2010-02-05;16,499086;16,608774;15,987203;16,599634;13516200;12,589424
2010-02-08;16,581352;16,654478;16,279707;16,316271;7159400;12,374516
2010-02-09;16,517368;16,718464;16,297989;16,54479;9645500;12,547831
2010-02-10;16,462523;16,55393;16,115173;16,453382;8711100;12,478507
2010-02-11;16,462523;16,535648;16,096891;16,453382;14182600;12,478507
2010-02-12;16,252285;16,270567;16,005484;16,179159;12805700;12,307932
2010-02-16;16,307129;16,480804;16,243145;16,425961;9928400;12,495679
2010-02-17;16,453382;16,54479;16,188299;16,288849;8019200;12,391375
2010-02-18;16,252285;16,334553;16,096891;16,170019;12758800;12,300981
2010-02-19;16,224863;16,398537;16,060329;16,352833;9502500;12,44005
2010-02-22;16,444241;16,453382;16,179159;16,252285;10545100;12,363559
2010-02-23;16,188299;16,252285;15,795247;15,978063;11636400;12,154951
2010-02-24;15,987203;16,261425;15,804387;16,087751;9561700;12,238394
2010-02-25;15,83181;15,95064;15,648994;15,95064;10209000;12,134089
2010-02-26;15,959781;16,252285;15,923218;16,014626;7680000;12,182765
2010-03-01;16,133455;16,234003;16,087751;16,124315;6410600;12,266209
2010-03-02;16,078611;16,837294;16,005484;16,636198;14737400;12,655613
2010-03-03;16,736746;17,221207;16,700182;17,020109;12679800;12,947668
2010-03-04;17,065813;17,239489;16,910421;17,202925;9867900;13,086739
2010-03-05;17,294333;17,943327;17,294333;17,888483;15482200;13,608265
2010-03-08;17,906765;18,171846;17,870201;17,934187;8676200;13,643026
2010-03-09;17,760511;18,007313;17,742229;17,851919;8237600;13,580447
2010-03-10;17,925045;18,820841;17,906765;18,756855;18427700;14,268861
2010-03-11;18,656307;19,113346;18,44607;18,656307;13469900;14,192369
2010-03-12;18,756855;18,811701;18,382084;18,683729;10460600;14,213229
2010-03-15;18,610603;18,665447;18,20841;18,610603;10811500;14,157599
2010-03-16;18,665447;18,829981;18,519196;18,793419;9592700;14,29667
2010-03-17;18,857405;19,16819;18,784277;18,884827;11251500;14,36621
2010-03-18;18,893967;19,04936;18,601463;18,784277;8108900;14,289716
2010-03-19;18,564899;18,884827;18,244972;18,564899;10598400;14,122831
2010-03-22;18,089579;18,628885;17,961609;18,546618;10229100;14,108923
2010-03-23;18,555759;18,610603;18,372944;18,555759;8356900;14,115878
2010-03-24;18,382084;18,976234;18,244972;18,912249;12482600;14,387071
2010-03-25;19,021938;19,195612;18,135283;18,162706;14255400;13,816873
2010-03-26;18,281536;18,345522;17,641682;18,025595;14513500;13,712566
2010-03-29;18,135283;18,272394;17,952469;18,180986;9463400;13,830776
2010-03-30;18,20841;18,244972;18,007313;18,135283;9559800;13,796009
