"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;51,68084;52,266129;50,927284;51,227242;2307400;33,140942
2010-01-05;51,263824;51,263824;50,232254;50,839489;2751900;32,890091
2010-01-06;50,905334;51,358932;50,276154;50,63464;2105000;32,757565
2010-01-07;50,481003;52,01738;50,188358;51,417461;2492000;33,264011
2010-01-08;51,007759;51,234558;50,363945;50,846806;1729900;32,89481
2010-01-11;51,044342;51,315037;50,590744;51,007759;1449600;32,998947
2010-01-12;50,649273;51,000446;49,749393;50,305416;2121200;32,544579
2010-01-13;50,473686;51,64426;50,151779;51,549152;2809700;33,34919
2010-01-14;51,380882;51,863743;51,132133;51,761318;2268900;33,486458
2010-01-15;51,585732;51,812531;51,022392;51,28577;2863600;33,178814
2010-01-19;51,315037;51,980801;51,080921;51,710106;3320400;33,453327
2010-01-20;51,366249;51,366249;50,378578;50,590744;2609200;32,72916
2010-01-21;50,612694;50,934601;48,593452;48,651981;3954000;31,474907
2010-01-22;48,637348;49,215321;47,122917;47,3424;3469000;30,627686
2010-01-25;48,110592;48,110592;46,815643;47,488724;3221100;30,722343
2010-01-26;46,82296;47,70089;46,640057;46,94733;2659000;30,793575
2010-01-27;46,786377;47,70089;46,193775;47,620411;2939900;31,235067
2010-01-28;47,905739;48,022797;47,013176;47,32777;2597900;31,043114
2010-01-29;47,532619;48,264229;47,013176;47,320454;3825700;31,038319
2010-02-01;47,67894;48,330074;47,583832;48,330074;3043200;31,700539
2010-02-02;48,483711;49,032417;47,832581;48,922676;3185700;32,089245
2010-02-03;48,600769;48,615398;47,642361;47,942322;2344300;31,446211
2010-02-04;47,642361;47,803314;46,120613;46,186459;4845800;30,294512
2010-02-05;46,332783;47,335083;45,549961;47,020493;4193900;30,841579
2010-02-08;46,903435;47,532619;45,871868;45,996243;2840500;30,169756
2010-02-09;46,559578;46,859539;45,345108;46,098667;3291000;30,236933
2010-02-10;46,032822;46,603477;45,184155;45,915764;3038600;30,116961
2010-02-11;45,857235;46,084034;45,27195;45,718231;3228100;29,987391
2010-02-12;45,242683;46,003555;44,811035;45,871868;3342600;30,088173
2010-02-16;46,208408;47,174129;45,966976;47,130234;3627700;30,913553
2010-02-17;47,51067;47,51067;46,193775;46,705902;3262800;30,635218
2010-02-18;46,588844;47,649677;46,2962;47,430195;2513000;31,110298
2010-02-19;47,203396;48,278862;46,910751;48,008163;2870300;31,489403
2010-02-22;48,234962;48,388603;47,832581;48,052063;2155500;31,518202
2010-02-23;47,225342;48,030113;47,181446;47,239975;2368100;30,985525
2010-02-24;47,620411;48,022797;47,042442;47,781364;2223300;31,340645
2010-02-25;47,261925;48,103275;47,035126;48,059376;1689300;31,522989
2010-02-26;48,030113;48,593452;47,452141;48,081326;3436700;31,53738
2010-03-01;48,278862;48,856831;48,008163;48,425182;1730000;31,762934
2010-03-02;48,637348;49,017784;48,417866;48,54224;1814600;31,839712
2010-03-03;48,659298;49,017784;48,249596;48,615398;1557500;31,88769
2010-03-04;48,600769;49,237267;48,491028;49,112896;1991500;32,214012
2010-03-05;49,368958;50,780964;49,164108;50,671219;2285200;33,236141
2010-03-08;50,678535;51,797897;50,671219;51,600365;1721900;33,845589
2010-03-09;51,351616;52,646564;51,234558;52,266129;2177300;34,282276
2010-03-10;52,244179;53,246483;52,119804;53,239166;2195100;34,920509
2010-03-11;52,851414;53,524494;52,697777;53,509861;1886700;35,098064
2010-03-12;53,94883;54,197575;53,370857;53,992725;2195000;35,41478
2010-03-15;53,875668;54,190258;53,180637;53,861034;1696400;35,3284
2010-03-16;54,065884;55,338886;53,817139;55,170616;2471800;36,187382
2010-03-17;55,294987;56,129021;55,126717;55,79248;2272700;36,595268
2010-03-18;55,887592;56,246078;55,47789;55,660793;1740200;36,5089
2010-03-19;55,185246;56,099758;54,958447;55,185246;2653900;36,196976
2010-03-22;54,724335;55,880276;54,724335;55,507153;1760700;36,408127
2010-03-23;55,616898;55,682739;54,892605;55,572998;1656500;36,451302
2010-03-24;55,404728;56,370453;55,353516;55,887592;1875700;36,657661
2010-03-25;56,282661;57,358124;56,107075;56,180233;2359800;36,849598
2010-03-26;56,407032;56,531406;55,660793;55,997334;2354700;36,729633
2010-03-29;56,209499;56,311924;55,660793;56,289974;1775500;36,921593
2010-03-30;56,224133;56,597252;55,748585;56,15097;1507000;36,830406
2010-03-31;55,79248;56,107075;55,346199;55,382782;2429800;36,326534
2010-04-01;55,763218;56,136337;55,068188;55,492523;2120300;36,398525
2010-04-05;55,741268;57,343491;55,631527;57,336178;2104600;37,607807
2010-04-06;56,948425;58,762814;56,919159;58,228741;3199800;38,193256
2010-04-07;58,192158;58,397007;56,260712;56,516773;2583800;37,070339
2010-04-08;56,246078;56,721626;56,165604;56,35582;1807300;36,964767
2010-04-09;56,531406;57,958042;56,487511;57,943413;1894000;38,006107
2010-04-12;57,855618;58,206791;57,17522;57,241066;1573000;37,545429
2010-04-13;57,263016;59,991917;57,241066;59,633427;3179400;39,114628
2010-04-14;59,948021;60,160187;58,850605;59,28957;2747500;38,889072
2010-04-15;59,055458;59,377365;57,204487;57,241066;3230900;37,545429
2010-04-16;57,080112;58,301899;55,931488;56,033913;3275500;36,753643
2010-04-19;55,697372;56,699677;55,30962;56,209499;1527000;36,868801
2010-04-20;56,597252;57,17522;55,843693;57,131325;1744000;37,473442
2010-04-21;57,065479;58,660389;56,919159;58,26532;1833700;38,217258
2010-04-22;57,680031;59,896809;57,431286;59,574898;2270100;39,076225
2010-04-23;59,743168;60,511356;58,945717;60,365036;2160500;39,594494
2010-04-26;60,15287;61,542927;60,138237;61,191753;2452400;40,136745
2010-04-27;60,716209;60,913742;59,187145;59,27494;3015300;38,879475
2010-04-28;59,582214;59,918755;59,077404;59,604164;2629200;39,095425
2010-04-29;60,299191;63,218311;60,079708;63,181728;3189900;41,442005
2010-04-30;62,889088;63,467056;60,782055;60,994221;3468600;40,007191
2010-05-03;61,506348;63,496323;61,118595;62,954933;2988000;41,293247
2010-05-04;62,384277;62,662289;60,657681;61,089329;3263800;40,069569
2010-05-05;60,065075;61,147858;58,448223;60,365036;2751800;39,594494
2010-05-06;59,296886;60,072392;53,04895;57,336178;4795200;38,017178
2010-05-07;57,116695;58,609177;55,294987;55,997334;4361600;37,129444
2010-05-10;58,506752;59,9846;57,943413;59,918755;3841900;39,729572
2010-05-11;59,004246;60,511356;58,755497;59,904121;2314600;39,719875
2010-05-12;60,226032;61,140541;59,64806;60,88448;2316700;40,369896
2010-05-13;60,782055;60,928375;59,677322;59,904121;1996300;39,719875
2010-05-14;59,450527;59,509052;57,526394;58,199474;2560700;38,589577
2010-05-17;58,287266;59,238358;56,289974;58,133629;2555800;38,545925
2010-05-18;58,872555;59,194462;56,202183;56,363136;3126500;37,371998
2010-05-19;56,070492;57,263016;54,321949;55,894909;3093400;37,061539
2010-05-20;54,746281;55,616898;53,597656;53,765926;3776300;35,649891
2010-05-21;52,807518;55,748585;52,456345;55,609581;5129900;36,872341
2010-05-24;55,704689;55,953434;53,868351;53,90493;2622600;35,742065
2010-05-25;52,37587;54,621906;51,980801;54,512165;2985800;36,144691
2010-05-26;55,251091;55,79248;53,861034;54,117096;3353300;35,882729
2010-05-27;55,243774;57,950729;55,053558;57,855618;3140100;38,361588
2010-05-28;58,375061;58,375061;56,663097;56,831367;2582300;37,682453
2010-06-01;56,35582;57,102062;55,360832;55,49984;2565600;36,799561
2010-06-02;55,829063;57,014267;55,002346;56,963055;2939700;37,769768
2010-06-03;56,963055;57,05085;55,697372;56,282661;2063100;37,318634
2010-06-04;54,995029;55,66811;52,529507;52,748989;3789100;34,975597
2010-06-07;52,961155;54,051254;52,478294;52,52219;2802200;34,825226
2010-06-08;52,566086;53,517178;51,256508;53,246483;3361500;35,30547
2010-06-09;53,656185;55,192562;53,166008;53,436703;2411200;35,431602
2010-06-10;54,26342;56,143654;54,058571;55,931488;2649500;37,085777
2010-06-11;55,338886;56,407032;55,134033;56,289974;2302600;37,323483
2010-06-14;56,809418;57,709297;56,363136;57,021584;3241800;37,808575
2010-06-15;57,541027;58,404324;56,904526;58,236053;2919000;38,613842
2010-06-16;57,797089;58,462852;57,445919;58,192158;2310500;38,584732
2010-06-17;58,250687;58,565277;57,511761;58,338482;1689400;38,681755
2010-06-18;58,521381;58,843288;57,8922;58,0751;3345900;38,507122
2010-06-21;58,814026;59,62611;58,133629;58,316532;2406300;38,66721
2010-06-22;58,404324;58,872555;56,487511;56,619198;2886500;37,541775
2010-06-23;56,626514;57,314228;55,609581;56,802101;2601400;37,663048
2010-06-24;56,333874;57,189854;55,616898;55,79248;3133900;36,993614
2010-06-25;56,414349;57,72393;55,990017;57,562977;3342900;38,167561
2010-06-28;57,943413;57,943413;56,392403;56,54604;1840200;37,493263
2010-06-29;55,719322;56,304607;53,685448;54,117096;3244400;35,882729
2010-06-30;54,26342;55,1194;53,195271;53,370857;3163000;35,387943
2010-07-01;53,546444;53,956142;52,119804;53,392807;2502800;35,402489
2010-07-02;53,407436;53,795189;51,922272;52,03933;2264400;34,505062
2010-07-06;53,297695;53,509861;50,181042;50,846806;3839400;33,714344
2010-07-07;51,102871;53,312328;50,876072;53,305012;3227700;35,344273
2010-07-08;53,934196;54,278053;52,741673;53,692764;2307000;35,601379
2010-07-09;53,502548;54,921867;53,458649;54,870655;2030500;36,382389
2010-07-12;54,695068;55,338886;54,190258;55,324253;2097700;36,683159
2010-07-13;55,975384;56,728943;55,507153;56,553356;2240000;37,498116
2010-07-14;55,843693;56,582619;55,316936;56,099758;1147500;37,197365
2010-07-15;56,224133;56,407032;54,753597;56,246078;1362900;37,294369
2010-07-16;55,572998;55,858326;54,124413;54,629223;2645500;36,222309
2010-07-19;54,870655;55,704689;54,043938;55,419361;1900200;36,746208
2010-07-20;54,541431;56,502144;54,212208;56,443615;1899400;37,425354
2010-07-21;57,131325;57,314228;55,046242;55,280357;2100300;36,654053
2010-07-22;55,719322;58,294582;55,719322;57,870251;2705000;38,371288
2010-07-23;57,797089;58,675018;56,926476;58,616493;1626900;38,8661
2010-07-26;58,762814;60,760105;58,177525;60,621098;2224100;40,195255
2010-07-27;61,17712;61,411236;59,830963;60,474777;2354800;40,098244
2010-07-28;60,328457;61,330761;59,823647;60,796684;1866600;40,311687
2010-07-29;61,286865;61,286865;59,62611;60,291874;1291900;39,976955
2010-07-30;59,428577;60,738155;59,406628;60,562572;2291900;40,15646
2010-08-02;61,455132;63,335369;60,774738;63,218311;2498400;41,917358
2010-08-03;62,523281;62,874454;61,777042;62,033104;1989400;41,131512
2010-08-04;62,303799;62,845188;62,120899;62,669605;1321400;41,553528
2010-08-05;62,179424;62,713501;61,608772;62,150162;1537500;41,209122
2010-08-06;61,455132;62,150162;60,921059;62,077;1610800;41,160625
2010-08-09;61,791672;62,669605;61,586823;62,611076;1329700;41,954025
2010-08-10;62,069683;62,179424;60,708893;61,425869;1832400;41,159847
2010-08-11;60,591835;61,023483;59,96265;60,262611;2325900;40,380379
2010-08-12;59,45784;60,226032;59,304203;59,472473;1796200;39,850925
2010-08-13;59,443211;60,13092;59,252991;59,260307;1665200;39,708775
2010-08-16;59,026192;59,83828;58,857922;59,362732;1276900;39,777393
2010-08-17;60,094341;61,923363;59,721222;61,484398;2525800;41,19907
2010-08-18;61,484398;62,011154;61,023483;61,469765;1696700;41,18927
2010-08-19;61,294178;61,323444;59,231041;59,655376;1868900;39,973495
2010-08-20;59,260307;59,823647;58,74818;59,304203;1440400;39,738167
2010-08-23;59,779751;60,15287;59,14325;59,231041;1202100;39,689156
2010-08-24;58,696968;59,209095;57,987309;58,550648;1378500;39,233238
2010-08-25;58,24337;59,706589;58,24337;59,421261;1602500;39,816616
2010-08-26;59,772434;60,057762;58,645756;58,843288;1711000;39,429329
2010-08-27;59,150566;59,743168;57,840988;59,684639;2250800;39,993103
2010-08-30;59,28957;60,240662;58,843288;58,872555;1484400;39,448944
2010-08-31;58,828659;59,662693;58,462852;59,304203;1945800;39,738167
2010-09-01;60,262611;61,87215;59,969967;61,674618;3060800;41,32653
2010-09-02;61,806305;63,042725;61,718513;63,020775;2259000;42,228561
2010-09-03;63,437794;64,037712;62,9403;63,949921;1930700;42,851143
2010-09-07;63,371948;63,510956;62,698868;62,735447;1615500;42,037365
2010-09-08;63,137833;63,525585;62,501335;62,837875;1612500;42,106007
2010-09-09;63,61338;64,103554;61,711197;61,857517;1913000;41,449085
2010-09-10;62,142845;62,530598;61,659985;62,113583;1489800;41,62067
2010-09-13;63,152466;63,167099;62,296482;62,9403;1506900;42,174633
2010-09-14;62,764713;63,415844;62,311115;62,75008;2038900;42,047169
2010-09-15;62,23064;63,679222;62,208691;63,496323;1308600;42,547207
2010-09-16;63,342686;63,45974;62,545231;63,013458;1050300;42,223652
2010-09-17;63,27684;63,474373;62,494019;63,306103;2050800;42,419754
2010-09-20;63,788967;65,135124;63,349998;64,791267;2104700;43,414921
2010-09-21;64,842484;65,157074;63,788967;64,644951;2659100;43,316872
2010-09-22;64,17672;65,0327;63,671909;63,854809;2258600;42,787418
2010-09-23;63,547535;63,635326;61,952629;61,967258;2167700;41,522614
2010-09-24;62,786663;63,840179;62,457436;63,64996;2238400;42,650166
2010-09-27;63,393898;63,979183;62,947617;63,540218;2029500;42,576622
2010-09-28;63,496323;63,525585;62,391594;63,342686;2345700;42,444267
2010-09-29;62,998829;63,159782;62,216007;62,457436;1432800;41,851074
2010-09-30;62,786663;63,518269;62,179424;62,574493;2675200;41,929516
2010-10-01;63,269524;63,335369;62,040421;62,889088;1817800;42,140308
2010-10-04;62,925667;63,606064;62,589127;63,591431;1693500;42,610947
2010-10-05;64,359619;64,966858;63,606064;64,644951;2614100;43,316872
2010-10-06;64,396202;64,725426;63,284157;63,759701;1841600;42,723682
2010-10-07;64,103554;64,505943;63,525585;63,715805;1219600;42,694283
