"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;30,41;30,5;29,67;29,85;390000;29,642521
2010-01-05;29,85;30,07;29,49;30,049999;430000;29,841127
2010-01-06;30;30,870001;30;30,440001;848900;30,228418
2010-01-07;30,360001;30,68;29,799999;30,389999;426600;30,178764
2010-01-08;30,209999;30,27;29,98;30;253200;29,791475
2010-01-11;30,030001;30,110001;29,75;29,93;676500;29,721962
2010-01-12;29,99;30,379999;29,84;30,16;742000;29,950361
2010-01-13;30,1;30,290001;30,1;30,15;394400;29,940432
2010-01-14;30,09;30,1;29,889999;29,91;301100;29,702101
2010-01-15;29,77;29,92;28,66;28,950001;766000;28,748775
2010-01-19;28,84;28,84;27,809999;27,950001;1531700;27,755726
2010-01-20;27,809999;28,1;27,690001;27,99;957600;27,795446
2010-01-21;27,99;28,4;27,91;28,040001;681800;27,845098
2010-01-22;28,200001;28,370001;27,93;28,01;595600;27,81531
2010-01-25;27,98;28,24;27,91;27,950001;256500;27,755726
2010-01-26;27,83;28,75;27,83;28,35;302600;28,152946
2010-01-27;28,23;29,24;28,01;28,9;475200;28,699121
2010-01-28;28,75;29,030001;28,57;28,77;495200;28,570026
2010-01-29;28,83;28,9;28;28,120001;389800;27,924545
2010-02-01;28,209999;28,459999;28,200001;28,41;400800;28,212528
2010-02-02;28,389999;28,59;27,9;27,959999;536200;27,765656
2010-02-03;27,959999;28,129999;27,9;27,99;309300;27,795446
2010-02-04;27,93;27,940001;27,709999;27,75;617700;27,557116
2010-02-05;27,75;27,82;26,65;27,700001;645500;27,507462
2010-02-08;27,73;27,91;27,379999;27,629999;632500;27,437948
2010-02-09;27,58;28,1;27,58;27,84;1451000;27,64649
2010-02-10;27,959999;28,09;27,51;27,84;496600;27,64649
2010-02-11;27,700001;28,18;27,700001;28,02;346900;27,825239
2010-02-12;27,709999;28,389999;27,530001;28,309999;875600;28,113222
2010-02-16;28,1;28,41;27,950001;28,25;213500;28,053638
2010-02-17;28,07;28,299999;27,85;27,940001;456100;27,745796
2010-02-18;27,77;28,1;27,66;28;613800;27,805378
2010-02-19;27,83;28,23;27,83;28,01;152500;27,81531
2010-02-22;28;28,42;27,889999;28,24;290500;28,043711
2010-02-23;28,42;28,42;27,82;28,01;390400;27,81531
2010-02-24;27,99;28;27,879999;27,959999;263000;27,765656
2010-02-25;27,83;28,059999;27,83;27,98;328900;27,785515
2010-02-26;28,08;28,299999;27,959999;28,299999;632800;28,103291
2010-03-01;28,459999;28,74;28,219999;28,4;321800;28,202597
2010-03-02;28,4;28,65;27,790001;28,02;468000;27,825239
2010-03-03;27,940001;28,129999;27,370001;27,629999;663200;27,437948
2010-03-04;27,57;27,940001;27,049999;27,24;294700;27,050661
2010-03-05;27,27;27,58;27,26;27,379999;716400;27,189686
2010-03-08;27,24;29,35;27,17;29,030001;680100;28,828217
2010-03-09;28,77;28,92;27,969999;28,450001;706800;28,252251
2010-03-10;28,35;28,790001;28,35;28,530001;413000;28,331694
2010-03-11;28,59;28,6;28;28,190001;479100;27,994057
2010-03-12;28,43;28,709999;28;28,200001;537800;28,003986
2010-03-15;28,07;28,190001;27,889999;28,1;463300;27,904684
2010-03-16;28,059999;28,15;27,98;28,049999;623800;27,855028
2010-03-17;28,15;28,15;28;28,01;415200;27,81531
2010-03-18;28,01;28,5;28;28,370001;232800;28,172806
2010-03-19;28,290001;28,530001;27,780001;28,290001;462000;28,093363
2010-03-22;28,219999;28,77;28,139999;28,200001;253800;28,003986
2010-03-23;28,049999;28,42;27,809999;28;341500;27,805378
2010-03-24;28;28,26;27,82;28,02;628600;27,825239
2010-03-25;28,07;28,440001;27,92;28;230300;27,805378
2010-03-26;28,02;28,129999;27,969999;28,07;314300;27,874889
2010-03-29;28,059999;28,23;27,75;28;317000;27,805378
2010-03-30;28,110001;28,219999;27,84;27,91;732900;27,716003
2010-03-31;27,93;28,360001;27,93;28,200001;480200;28,003986
2010-04-01;28,25;28,42;27,870001;27,99;537000;27,795446
2010-04-05;27,68;28,059999;27,530001;27,889999;406400;27,69614
2010-04-06;27,719999;28,190001;27,59;28,16;543700;27,964266
2010-04-07;28,02;28,18;27,52;27,809999;548500;27,616695
2010-04-08;27,66;27,93;27,52;27,65;318300;27,457809
2010-04-09;27,809999;28,09;27,639999;27,98;411400;27,785515
2010-04-12;27,879999;28,290001;27,77;28,040001;181300;27,845098
2010-04-13;28;28,34;27,99;28,07;938700;27,874889
2010-04-14;28,02;28,639999;28,02;28,559999;1019800;28,361485
2010-04-15;28,389999;28,52;28,129999;28,190001;438900;27,994057
2010-04-16;28,059999;28,200001;28;28,02;356700;27,825239
2010-04-19;28,02;28,49;27,9;28,24;295500;28,043711
2010-04-20;28,33;28,73;28,190001;28,290001;177100;28,093363
2010-04-21;28,360001;28,6;28;28,16;406100;27,964266
2010-04-22;28,01;28,360001;28;28,200001;225800;28,003986
2010-04-23;28,08;28,389999;28,059999;28,309999;211700;28,113222
2010-04-26;28,209999;28,639999;28,209999;28,559999;344800;28,361485
2010-04-27;28,530001;28,6;28,290001;28,51;221200;28,311834
2010-04-28;28,33;28,33;27,75;27,799999;518600;27,606766
2010-04-29;27,860001;28,07;27,690001;28,030001;532000;27,835169
2010-04-30;27,92;28,73;27,92;28,02;269600;27,825239
2010-05-03;27,9;28,24;27,790001;28,15;530400;27,954334
2010-05-04;28,02;28,459999;27,940001;28,35;471600;28,152946
2010-05-05;28,08;28,559999;28;28,299999;423100;28,103291
2010-05-06;28,200001;28,450001;27,780001;27,99;604500;27,795446
2010-05-07;27,780001;28,23;27,459999;27,719999;1907800;27,527323
2010-05-10;28,48;28,49;27,65;27,83;889100;27,636559
2010-05-11;27,67;28,51;27,559999;28,459999;584200;28,262178
2010-05-12;28,85;30,32;28,32;29,92;2098900;29,71203
2010-05-13;29,66;31,48;29,549999;30,299999;1505400;30,08939
2010-05-14;30,18;30,940001;30,1;30,83;1102700;30,615705
2010-05-17;30,780001;31,75;30,530001;30,75;1406200;30,536261
2010-05-18;30,799999;31,15;30,110001;30,299999;1480700;30,08939
2010-05-19;30,040001;30,49;29,6;29,99;735000;29,781544
2010-05-20;29,469999;30,280001;28,969999;29,24;572200;29,036758
2010-05-21;28,879999;29,26;28,459999;29,01;1018600;28,808357
2010-05-24;28,809999;29,73;28,809999;29,23;964300;29,026827
2010-05-25;28,620001;29,73;28,42;29,73;1114400;29,523352
2010-05-26;30,049999;30,209999;29,01;29,25;4949700;29,04669
2010-05-27;29,450001;29,93;29,32;29,76;736200;29,553144
2010-05-28;29,58;30,4;29,58;30,25;515900;30,039736
