"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;50,473907;50,953522;49,172092;49,503254;1048100;31,964184
2010-01-05;49,389061;49,845837;48,79525;49,743061;1265000;32,119019
2010-01-06;49,743061;50,051388;48,909443;49,18351;1734300;31,757736
2010-01-07;49,035057;49,902935;48,60112;49,731644;2428100;32,111656
2010-01-08;49,400478;49,617451;48,658215;49,18351;1450100;31,757736
2010-01-11;49,274864;50,325455;49,274864;50,177002;1232500;32,399223
2010-01-12;49,902935;50,211258;49,37764;49,857258;1431300;32,192772
2010-01-13;50,222679;51,410301;50,005711;51,284687;1618100;33,11446
2010-01-14;51,147652;51,798561;50,645199;51,113396;1120800;33,003853
2010-01-15;51,033459;51,284687;50,770813;51,01062;1102400;32,937485
2010-01-19;51,193333;51,901337;50,964943;51,764301;1362400;33,424141
2010-01-20;51,43314;51,547333;50,462486;50,885006;1386400;32,856388
2010-01-21;51,01062;51,216171;49,651707;49,743061;1602000;32,119019
2010-01-22;49,594608;50,268356;48,681057;48,818089;1754300;31,521767
2010-01-25;49,046478;49,21777;48,018726;48,692474;1874800;31,44066
2010-01-26;48,315632;49,274864;47,961632;48,475506;1367600;31,300568
2010-01-27;48,304214;49,229187;47,801758;49,194931;1552100;31,7651
2010-01-28;49,366222;49,548931;48,155762;48,76099;1313200;31,484898
2010-01-29;49,137833;49,457577;47,824596;48,190018;1729500;31,116236
2010-02-01;48,441246;48,852348;48,132923;48,829506;1075700;31,52915
2010-02-02;48,783829;49,651707;48,201439;49,560352;1340000;32,001045
2010-02-03;49,252026;49,320545;48,681057;48,783829;1061100;31,499662
2010-02-04;48,40699;48,475506;46,671234;46,762589;2275800;30,194546
2010-02-05;46,831108;48,064407;46,31723;48,041565;2258200;31,020376
2010-02-08;47,961632;48,327053;46,990978;47,059494;1332200;30,386248
2010-02-09;47,504852;47,619049;46,57988;46,911041;1211400;30,29039
2010-02-10;46,865364;47,619049;46,088844;47,265045;1084500;30,518974
2010-02-11;47,128014;47,847435;46,73975;47,813179;1031600;30,872898
2010-02-12;47,207947;47,915955;46,911041;47,824596;916300;30,880278
2010-02-16;48,167179;49,491837;48,167179;49,446156;1243400;31,927317
2010-02-17;49,60603;50,576683;49,537514;50,439648;1463500;32,568806
2010-02-18;49,994289;51,467396;49,994289;51,341785;1650100;33,151314
2010-02-19;51,969852;51,969852;51,124813;51,490238;1481000;33,247189
2010-02-22;51,604431;51,8214;51,284687;51,421719;1199800;33,20293
2010-02-23;51,376041;51,501656;50,896427;51,067719;1440600;32,974358
2010-02-24;51,455978;51,570171;51,01062;51,273266;1459100;33,107071
2010-02-25;50,656616;50,896427;50,268356;50,759392;1874400;32,775269
2010-02-26;50,747974;51,04488;50,371132;50,462486;1456900;32,583557
2010-03-01;50,725136;50,953522;50,382549;50,805069;1303700;32,804756
2010-03-02;51,067719;51,20475;50,679455;50,759392;958300;32,775269
2010-03-03;50,907845;50,930683;50,5881;50,599522;1005800;32,672035
2010-03-04;50,81649;50,953522;50,42823;50,668037;1205400;32,716286
2010-03-05;50,873589;51,62727;50,62236;51,524494;1325000;33,269295
2010-03-08;51,501656;51,969852;51,250427;51,832821;763200;33,468384
2010-03-09;51,718624;52,472309;51,421719;52,175404;1311400;33,689583
2010-03-10;51,444557;52,118305;51,04488;51,855659;1407900;33,830013
2010-03-11;51,501656;52,449471;51,478817;52,426632;1041000;34,202499
2010-03-12;52,6436;53,340183;52,483727;53,088959;1286400;34,634617
2010-03-15;52,677856;53,374443;52,20966;53,271667;1766700;34,753811
2010-03-16;53,214573;54,242321;53,123215;54,150967;1896000;35,327438
2010-03-17;54,367935;54,904648;54,07103;54,721935;1201700;35,69994
2010-03-18;54,185223;54,550644;54,002514;54,287998;1236600;35,416847
2010-03-19;54,139545;54,607742;53,557156;54,139545;1585400;35,319996
2010-03-22;54,002514;55,772526;53,557156;55,521297;1375900;36,221428
2010-03-23;54,836132;55,44136;54,687679;55,361423;1435300;36,117126
2010-03-24;55,292908;55,909557;55,144455;55,555557;1219500;36,243774
2010-03-25;54,436451;56,229301;54,436451;55,407104;1436300;36,146935
2010-03-26;55,532715;55,989494;54,847549;54,927486;1819800;35,83403
2010-03-29;55,509876;55,70401;54,710518;54,973164;1251900;35,863838
2010-03-30;55,030262;55,395683;54,744774;54,973164;1163100;35,863838
2010-03-31;54,710518;54,950325;54,139545;54,219482;1480000;35,372147
2010-04-01;54,527805;54,642002;53,705608;54,116707;1296700;35,305092
2010-04-05;54,447872;55,08736;54,219482;54,984585;1245400;35,871288
2010-04-06;54,779034;56,035172;54,470711;55,795364;1170900;36,400238
2010-04-07;55,498459;55,726849;54,470711;54,676258;1172200;35,670147
2010-04-08;54,516388;54,904648;53,922577;54,025352;1650000;35,245502
2010-04-09;54,242321;54,390774;53,465797;53,671349;2207900;35,014553
2010-04-12;53,762703;53,968254;52,986183;53,340183;1606200;34,798504
2010-04-13;53,534317;54,162384;53,271667;54,03677;2261500;35,252949
2010-04-14;54,390774;54,447872;53,157475;53,328766;1776200;34,79105
2010-04-15;53,328766;53,328766;52,038368;52,118305;2072100;34,001362
2010-04-16;52,038368;52,232498;50,553844;50,5881;3229800;33,003075
2010-04-19;50,359711;51,20475;50,165581;50,930683;2359000;33,22657
2010-04-20;51,364624;52,175404;50,839329;52,129726;1587700;34,00882
2010-04-21;52,004112;53,180313;51,947014;52,620762;1746600;34,329159
2010-04-22;52,106888;54,025352;51,981274;53,854061;1369000;35,133751
2010-04-23;53,694187;54,836132;53,568573;54,801872;3046900;35,75209
2010-04-26;54,790455;55,738266;54,584904;55,372845;1365300;36,124584
2010-04-27;55,007423;55,761105;54,013931;54,116707;2073900;35,305092
2010-04-28;52,597923;54,619164;51,455978;54,093868;1629100;35,290188
2010-04-29;54,653419;55,955235;54,45929;55,886719;1386500;36,459831
2010-04-30;55,44136;55,761105;53,717026;53,933994;1755600;35,18589
2010-05-03;54,333675;55,841042;53,933994;55,429943;1226200;36,161835
2010-05-04;54,881809;55,133038;53,865479;54,493549;2097300;35,550934
2010-05-05;53,922577;54,607742;53,054699;53,500057;1136700;34,902794
2010-05-06;53,363026;53,888317;49,263447;52,255337;3131300;34,090755
2010-05-07;52,323856;53,534317;50,78223;51,878498;2716000;33,844917
2010-05-10;54,402191;56,354916;54,048191;56,297817;3067300;36,728027
2010-05-11;55,350006;56,640404;55,133038;55,589813;2399900;36,266129
2010-05-12;55,63549;56,594723;55,464199;56,457691;1598200;36,832329
2010-05-13;56,48053;56,67466;55,555557;55,681168;1392300;36,325733
2010-05-14;55,007423;55,464199;54,03677;54,584904;1667000;35,610535
2010-05-17;54,938908;55,384266;53,054699;54,482128;1465400;35,543491
2010-05-18;55,098778;55,327168;52,792053;53,009022;1587100;34,582462
2010-05-19;52,814892;53,831223;51,695786;52,769215;1821500;34,426003
2010-05-20;51,513077;52,129726;50,39397;50,451069;2733400;32,913681
2010-05-21;49,788742;52,575085;49,788742;52,506565;3592600;34,254658
2010-05-24;52,620762;52,849148;51,387463;51,501656;1652100;33,59906
2010-05-25;50,382549;52,049789;49,389061;51,992691;1896100;33,919418
2010-05-26;52,632179;53,374443;51,330364;51,570171;1893200;33,643757
2010-05-27;52,438049;54,333675;52,301018;54,276577;1630100;35,409401
2010-05-28;54,116707;54,664841;53,351604;53,61425;1426900;34,977299
2010-06-01;53,03186;54,242321;52,849148;53,294506;2000100;34,768703
2010-06-02;53,762703;54,767616;53,054699;54,721935;2098800;35,69994
2010-06-03;54,630581;54,836132;53,945415;54,493549;1781200;35,550934
