"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;31,325493;31,372387;31,034746;31,212946;16176600;19,130995
2010-01-05;31,297356;31,325493;30,744001;31,269218;23722900;19,165483
2010-01-06;30,612698;30,706486;29,824871;29,937416;37506400;18,632231
2010-01-07;30,106237;30,106237;29,57164;29,759218;25508200;18,521328
2010-01-08;29,693565;29,806112;29,468472;29,777975;20658300;18,533001
2010-01-11;29,984312;29,984312;29,468472;29,8999;21974900;18,608887
2010-01-12;29,806112;29,937416;29,721703;29,928038;14407500;18,626396
2010-01-13;29,965553;30,049963;29,693565;29,890522;17108700;18,603046
2010-01-14;29,843628;29,890522;29,262136;29,280895;23054200;18,223635
2010-01-15;29,262136;29,374683;28,55872;28,680645;46642200;17,850052
2010-01-19;28,830708;29,374683;28,746298;29,290274;23935600;18,229469
2010-01-20;29,290274;29,393442;28,699404;28,80257;30237600;17,925932
2010-01-21;28,877602;29,046423;28,380522;28,727541;23572400;17,87924
2010-01-22;28,671267;29,008907;28,418037;28,455553;24228600;17,709959
2010-01-25;28,886982;29,130833;28,3899;28,774435;21103300;17,908428
2010-01-26;28,511826;28,633751;27,902197;28,296112;37811500;17,610731
2010-01-27;28,127291;28,324247;27,667725;28,014744;34965600;17,435616
2010-01-28;27,977228;28,324247;27,320707;27,508284;35659800;17,120407
2010-01-29;27,620831;27,911577;27,395739;27,592695;27086800;17,172941
2010-02-01;27,96785;27,995987;27,527042;27,770893;18225600;17,28385
2010-02-02;27,723999;28,024124;27,648968;27,88344;17606300;17,353895
2010-02-03;27,892818;27,96785;27,217539;27,37698;35864000;17,038689
2010-02-04;27,180023;27,236296;26,842382;26,851763;28760100;16,711809
2010-02-05;26,851763;26,973688;26,551638;26,954929;25070100;16,776012
2010-02-08;27,001823;27,029961;26,60791;26,60791;17707500;16,560045
2010-02-09;26,917414;27,273811;26,908035;26,96431;25553500;16,781851
2010-02-10;27,001823;27,217539;26,776731;27,076855;16152600;16,8519
2010-02-11;27,067476;27,386358;26,898657;27,236296;15994700;16,951128
2010-02-12;27,123751;27,217539;26,926794;27,133129;15161600;16,886917
2010-02-16;27,395739;27,423874;27,236296;27,367601;12456400;17,03285
2010-02-17;27,442633;27,573936;27,226917;27,330086;14310100;17,009501
2010-02-18;27,330086;27,442633;27,142508;27,339464;11936700;17,015339
2010-02-19;27,217539;27,46139;27,11437;27,217539;19705100;16,939455
2010-02-22;27,255054;27,320707;27,104992;27,19878;14640500;16,92778
2010-02-23;27,123751;27,151886;26,917414;26,954929;15712000;16,776012
2010-02-24;26,983067;27,19878;26,926794;27,161266;13273500;16,90443
2010-02-25;26,983067;27,170645;26,823626;27,086235;16887600;16,857731
2010-02-26;27,133129;27,20816;26,973688;27,133129;13582700;16,886917
2010-03-01;27,170645;27,301949;27,058098;27,189402;17269700;16,921946
2010-03-02;27,245676;27,46139;27,104992;27,442633;18502000;17,07955
2010-03-03;27,498905;27,517664;27,226917;27,320707;14241900;17,003666
2010-03-04;27,405117;27,592695;27,29257;27,452011;13974200;17,085388
2010-03-05;27,470768;27,527042;27,301949;27,414495;19983200;17,062037
2010-03-08;27,480148;27,874062;27,386358;27,789652;17094400;17,295527
2010-03-09;27,770893;28,174185;27,733377;28,052259;21646200;17,458961
2010-03-10;28,127291;28,174185;27,780272;27,902197;19359500;17,365568
2010-03-11;27,892818;27,995987;27,761515;27,986609;11714900;17,418104
2010-03-12;28,071018;28,071018;27,789652;27,88344;12047200;17,353895
2010-03-15;27,855303;28,005365;27,761515;28,005365;13430500;17,429781
2010-03-16;28,089775;28,136669;27,920956;28,071018;13724700;17,47064
2010-03-17;28,089775;28,371141;28,089775;28,277353;26049600;17,599054
2010-03-18;28,296112;28,493069;28,277353;28,418037;11864700;17,686607
2010-03-19;28,521204;28,643129;28,371141;28,521204;21208200;17,750818
2010-03-22;28,399279;28,811951;28,399279;28,746298;13596100;17,890911
2010-03-23;28,793192;29,055801;28,699404;29,055801;15380100;18,083544
2010-03-24;28,98077;29,027664;28,511826;28,568098;16000900;17,780006
2010-03-25;28,765055;28,774435;28,3899;28,427416;14419500;17,692448
2010-03-26;28,47431;28,55872;28,296112;28,483688;12930100;17,72747
2010-03-29;28,680645;28,699404;28,47431;28,55872;14965800;17,774176
2010-03-30;29,177727;29,543503;29,093317;29,290274;47206300;18,229469
2010-03-31;29,271515;29,290274;28,971392;29,093317;22853800;18,106892
2010-04-01;29,309031;29,48723;29,196486;29,337168;18351700;18,258656
2010-04-05;29,740459;29,740459;29,346546;29,505987;18849200;18,36372
2010-04-06;29,412199;29,412199;29,187105;29,262136;22490200;18,211956
2010-04-07;28,868223;28,868223;28,221081;28,361763;29006200;17,94285
2010-04-08;28,277353;28,399279;28,005365;28,286732;31576200;17,895382
2010-04-09;28,314869;28,361763;28,071018;28,2117;21013600;17,847914
2010-04-12;28,183565;28,324247;28,042881;28,080397;19633000;17,764845
2010-04-13;28,136669;28,277353;27,911577;28,202322;20272800;17,841982
2010-04-14;28,183565;28,183565;27,808409;27,995987;44206400;17,711443
2010-04-15;27,986609;27,986609;27,667725;27,70524;28856700;17,52751
2010-04-16;27,658346;27,930334;27,648968;27,742756;26306600;17,551235
2010-04-19;27,667725;27,911577;27,620831;27,88344;18978600;17,640244
2010-04-20;27,939713;27,977228;27,70524;27,911577;15930800;17,658037
2010-04-21;27,939713;27,977228;27,602074;27,723999;24152600;17,53937
2010-04-22;27,311327;27,527042;27,11437;27,46139;26552900;17,37323
2010-04-23;27,264433;27,264433;27,029961;27,245676;26070500;17,236765
2010-04-26;27,180023;27,29257;27,048719;27,142508;17428000;17,171499
2010-04-27;27,095613;27,151886;26,823626;26,96431;26602200;17,058764
2010-04-28;27,058098;27,433252;26,936172;27,311327;28366100;17,278297
2010-04-29;27,405117;27,498905;27,311327;27,405117;15858800;17,337629
2010-04-30;27,386358;27,489527;27,095613;27,104992;23367500;17,147762
2010-05-03;27,348843;27,611452;27,301949;27,470768;15539800;17,379168
2010-05-04;27,330086;27,348843;26,757973;26,96431;36789100;17,058764
2010-05-05;26,861141;27,133129;26,804867;26,898657;17347800;17,017225
2010-05-06;26,833004;26,936172;24,844679;26,270271;42107900;16,61968
2010-05-07;26,242134;26,926794;26,073315;26,439091;38892900;16,72648
2010-05-10;27,133129;27,19878;26,5235;26,833004;27673800;16,975693
2010-05-11;26,692322;26,87052;26,495365;26,636047;24781600;16,851089
2010-05-12;26,776731;26,992445;26,682941;26,917414;20688900;17,029093
2010-05-13;26,908035;27,161266;26,767351;26,908035;14156500;17,023155
2010-05-14;26,814247;27,058098;26,589153;26,739216;24603500;16,916357
2010-05-17;26,711079;26,926794;26,551638;26,879898;22279500;17,005358
2010-05-18;26,917414;27,20816;26,61729;26,654806;22884600;16,862953
2010-05-19;26,551638;26,842382;26,532879;26,739216;25470700;16,916357
2010-05-20;26,5235;26,5235;26,026421;26,035799;31498100;16,471346
2010-05-21;25,670021;26,242134;25,623127;26,223377;37210300;16,590012
2010-05-24;26,045177;26,092072;25,68878;25,782568;20591800;16,311144
2010-05-25;25,407413;25,754433;25,135426;25,698158;24799200;16,257744
2010-05-26;25,801327;25,801327;25,135426;25,257351;30040300;15,978868
2010-05-27;25,529339;25,876358;25,332382;25,866978;18694100;16,364542
2010-05-28;25,885736;25,951389;25,501202;25,810705;19514100;16,328939
2010-06-01;25,60437;26,007662;25,51996;25,51996;15402800;16,145002
2010-06-02;25,557476;25,885736;25,407413;25,876358;18972300;16,370474
2010-06-03;25,951389;26,063936;25,763811;25,923252;16961200;16,400143
2010-06-04;25,679401;25,745052;25,42617;25,51996;22462700;16,145002
2010-06-07;25,576233;25,670021;25,398035;25,398035;17574800;16,067869
2010-06-08;25,435549;26,007662;25,379276;25,960768;21557300;16,423876
2010-06-09;25,970146;26,298409;25,895115;26,054556;19699900;16,483213
2010-06-10;26,326544;26,654806;26,307787;26,579775;17770400;16,815485
2010-06-11;26,410954;26,78611;26,260893;26,78611;18022700;16,946026
2010-06-14;26,973688;27,076855;26,804867;26,851763;15998800;16,987562
2010-06-15;27,048719;27,320707;26,926794;27,301949;20556300;17,272367
2010-06-16;27,255054;27,395739;27,180023;27,367601;20739400;17,313902
2010-06-17;27,395739;27,498905;26,908035;27,283192;22459200;17,260502
2010-06-18;27,339464;27,480148;27,255054;27,320707;19510400;17,284235
2010-06-21;27,573936;27,620831;27,151886;27,255054;13404300;17,242697
2010-06-22;27,301949;27,55518;27,20816;27,255054;15813400;17,242697
2010-06-23;27,386358;27,639589;27,330086;27,508284;19897600;17,402899
2010-06-24;27,442633;27,602074;27,076855;27,161266;16411500;17,183357
2010-06-25;27,301949;27,386358;26,757973;26,776731;21396300;16,94009
2010-06-28;26,945551;27,058098;26,767351;26,926794;14050200;17,03503
2010-06-29;26,78611;27,348843;26,401575;26,842382;49151500;16,981623
2010-06-30;26,973688;26,983067;26,073315;26,27965;29439100;16,625616
2010-07-01;26,270271;26,448469;25,885736;26,382818;32420000;16,690884
2010-07-02;27,17;27,18;26,48;26,809999;25574500;16,961134
2010-07-06;27,15;27,200001;26,49;26,610001;39477900;16,834612
2010-07-07;26,120001;26,530001;25,99;26,52;20717700;17,0826
2010-07-08;26,719999;26,780001;26,32;26,780001;19227900;17,250082
2010-07-09;26,809999;26,82;26,469999;26,65;18324600;17,166342
2010-07-12;26,65;26,700001;26,42;26,49;20748500;17,063278
2010-07-13;26,85;27,07;26,709999;26,889999;22709200;17,320938
2010-07-14;26,93;27,049999;26,629999;26,84;18155100;17,288725
2010-07-15;26,870001;26,870001;26,67;26,799999;18416100;17,262962
2010-07-16;26,780001;27;26,6;26,690001;21672900;17,192104
2010-07-19;26,780001;26,92;26,700001;26,719999;14947000;17,21143
2010-07-20;26,629999;26,77;26,559999;26,67;21387100;17,179226
2010-07-21;26,799999;26,809999;26,41;26,52;20639200;17,0826
2010-07-22;26,719999;27,16;26,690001;27;22514500;17,391796
2010-07-23;27,82;28,18;27,49;28,02;47092800;18,048813
2010-07-26;28,030001;28,35;28,030001;28,280001;15439700;18,21629
2010-07-27;28,32;28,75;28,299999;28,59;22731100;18,415977
2010-07-28;28,57;29,16;28,549999;28,91;31990300;18,622095
2010-07-29;29,040001;29,190001;28,780001;28,879999;24238300;18,602777
