"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;37,009998;37,299999;36,639999;37,299999;8171000;29,717428
2010-01-05;37,099998;37,16;36,619999;37;10843200;29,478422
2010-01-06;36,16;37,290001;35,919998;36,720001;8945400;29,255346
2010-01-07;36,689999;37;36,470001;36,939999;5040700;29,430634
2010-01-08;36,919998;37,07;36,650002;36,990002;6139800;29,470461
2010-01-11;37;37,139999;36,900002;37,049999;4947500;29,518263
2010-01-12;36,84;36,970001;36,599998;36,740002;4646300;29,27129
2010-01-13;36,650002;37,16;36,599998;37,080002;4526600;29,542166
2010-01-14;37,16;37,25;36,880001;37,110001;5686500;29,566074
2010-01-15;36,93;37,049999;36,459999;36,599998;8691800;29,159737
2010-01-19;36,619999;36,869999;36,360001;36,740002;5621700;29,27129
2010-01-20;36,599998;37,049999;36,509998;36,950001;5939000;29,438597
2010-01-21;37,150002;37,27;36,220001;36,450001;7951700;29,040241
2010-01-22;36,310001;36,799999;35,970001;35,990002;6976400;28,673754
2010-01-25;36,220001;36,869999;35,98;36,669998;6138000;29,215508
2010-01-26;36,549999;36,700001;36,110001;36,169998;6565500;28,817158
2010-01-27;36,150002;36,830002;36,099998;36,700001;6706500;29,239408
2010-01-28;36,75;37;36,369999;36,400002;5611100;29,000402
2010-01-29;36,52;37,060001;36;36,049999;8441900;28,721552
2010-02-01;36,290001;36,41;36,009998;36,380001;6073200;28,984467
2010-02-02;36,349998;36,84;36,220001;36,779999;7675600;29,303146
2010-02-03;36;36,189999;34,23;34,619999;23408700;27,582245
2010-02-04;34,720001;35,099998;33,439999;33,450001;17080600;26,650093
2010-02-05;33,450001;33,68;33;33,310001;12632300;26,538557
2010-02-08;33,900002;33,900002;33,27;33,290001;11686000;26,522621
2010-02-09;33,549999;33,84;33,41;33,610001;7249200;26,777563
2010-02-10;33,549999;33,610001;33,029999;33,299999;6630100;26,530584
2010-02-11;33,25;33,599998;33,040001;33,599998;5881800;26,769594
2010-02-12;33,380001;33,630001;33,23;33,490002;5645700;26,681963
2010-02-16;33,549999;34,080002;33,349998;34,080002;5406500;27,264372
2010-02-17;33,689999;34,57;33,650002;34,189999;7799400;27,352371
2010-02-18;34,330002;34,75;34,23;34,689999;5142100;27,752375
2010-02-19;34,650002;34,950001;34,52;34,860001;4701500;27,88838
2010-02-22;35,299999;35,310001;34,709999;34,75;5983800;27,800381
2010-02-23;34,619999;34,810001;34,040001;34,759998;7834900;27,808376
2010-02-24;34,959999;35,580002;34,599998;35,5;7894500;28,400393
2010-02-25;35,240002;36,130001;34,959999;36,02;11441400;28,816389
2010-02-26;35,950001;36,07;35,18;35,240002;7104100;28,192373
2010-03-01;35,23;35,450001;34,869999;35,419998;6868000;28,336382
2010-03-02;35,5;35,77;35,200001;35,240002;8807600;28,192373
2010-03-03;35,150002;35,970001;35,02;35,360001;10597300;28,28838
2010-03-04;35,41;35,580002;34,93;35;8401500;28,000372
2010-03-05;35,16;35,259998;34,93;34,990002;7074800;27,992376
2010-03-08;35,110001;35,139999;34,610001;34,740002;7873600;27,792379
2010-03-09;34,68;34,790001;34,259998;34,389999;7297400;27,512365
2010-03-10;34,450001;34,66;34,200001;34,27;8637100;27,41637
2010-03-11;34,200001;34,310001;33,439999;33,939999;13188800;27,152367
2010-03-12;34,110001;34,200001;33,84;33,93;6885900;27,144365
2010-03-15;33,869999;34,18;33,720001;34,169998;4202200;27,336369
2010-03-16;34,27;34,580002;34,150002;34,509998;5480700;27,608374
2010-03-17;34,57;34,740002;34,290001;34,48;5649400;27,584366
2010-03-18;34,5;34,869999;34,41;34,82;5084600;27,856375
2010-03-19;34,529999;35;34,32;34,529999;9662700;27,624378
2010-03-22;34,57;35,619999;34,57;35,330002;10413000;28,264383
2010-03-23;35,93;36,189999;35,490002;35,91;10609100;28,72839
2010-03-24;35,869999;35,900002;35,310001;35,400002;6244500;28,320381
2010-03-25;35,52;36,400002;35,450001;36,330002;9932900;29,064388
2010-03-26;36,259998;36,860001;36,150002;36,790001;9887400;29,432402
2010-03-29;36,68;37,549999;36,68;37,490002;12950200;29,992405
2010-03-30;37,470001;37,599998;37,23;37,419998;6087000;29,936401
2010-03-31;37,130001;37,299999;36,900002;37,09;5705700;29,672403
2010-04-01;37,16;37,779999;37,139999;37,75;7946500;30,200409
2010-04-05;37,689999;37,950001;37,43;37,830002;6897500;30,264406
2010-04-06;37,59;37,77;37,299999;37,400002;5647200;29,920406
2010-04-07;37,369999;37,490002;36,5;36,790001;8565500;29,432402
2010-04-08;36,599998;36,950001;36,599998;36,849998;5801900;29,480392
2010-04-09;36,830002;37,099998;36,650002;37,07;4275800;29,656404
