"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,240002;37,48;35;37,150002;1059100;37,150002
2010-01-05;37,009998;37,82;36,75;37,099998;458500;37,099998
2010-01-06;36,880001;37,150002;36,220001;36,669998;414500;36,669998
2010-01-07;36,669998;37,810001;36,41;37,18;768300;37,18
2010-01-08;36,34;36,939999;36,150002;36,400002;743700;36,400002
2010-01-11;36,41;36,52;35,610001;35,610001;567900;35,610001
2010-01-12;35,189999;35,490002;34,439999;34,93;533100;34,93
2010-01-13;35,060001;35,810001;34,41;35,73;445400;35,73
2010-01-14;35,459999;36,23;35,139999;35,98;248600;35,98
2010-01-15;36,09;36,509998;35,310001;36,02;494100;36,02
2010-01-19;36,18;37,23;36,099998;36,450001;643900;36,450001
2010-01-20;37,68;37,68;35,549999;35,75;712500;35,75
2010-01-21;35,860001;36,259998;34,099998;34,110001;761700;34,110001
2010-01-22;34,009998;34,43;33,099998;33,18;563800;33,18
2010-01-25;33,810001;33,810001;33,040001;33,18;346000;33,18
2010-01-26;33,080002;33,18;32,43;32,540001;479600;32,540001
2010-01-27;32,290001;33,02;32,02;32,740002;518600;32,740002
2010-01-28;32,700001;32,939999;31,5;31,99;522200;31,99
2010-01-29;32,16;32,16;30,969999;31,18;907900;31,18
2010-02-01;31,370001;31,860001;30,41;31,700001;733100;31,700001
2010-02-02;31,74;32,349998;31,5;32,119999;292900;32,119999
2010-02-03;31,93;32,330002;31,74;32;592200;32
2010-02-04;31,66;31,84;30,790001;30,83;624200;30,83
2010-02-05;30,77;30,790001;29,549999;30,74;1024100;30,74
2010-02-08;30,52;31,25;30,290001;30,620001;523500;30,620001
2010-02-09;31,209999;31,700001;30,450001;31,629999;606600;31,629999
2010-02-10;31,59;31,83;30,6;31,370001;287100;31,370001
2010-02-11;31,120001;31,889999;30,82;31,85;305900;31,85
2010-02-12;31,32;31,879999;31,049999;31,809999;539200;31,809999
2010-02-16;31,91;31,940001;31,120001;31,719999;498000;31,719999
2010-02-17;31,85;32,759998;31,799999;32,119999;840500;32,119999
2010-02-18;27,92;29,379999;27,360001;27,91;5025600;27,91
2010-02-19;27,77;27,91;25,719999;26,25;3980300;26,25
2010-02-22;26,719999;26,73;25,799999;26,01;1199600;26,01
2010-02-23;25,83;27,049999;25,68;26,77;2621800;26,77
2010-02-24;26,76;27,1;26,48;27,059999;1426700;27,059999
2010-02-25;26,549999;26,870001;26,26;26,860001;1465200;26,860001
2010-02-26;26,780001;27,280001;26,540001;26,700001;912000;26,700001
2010-03-01;26,700001;27,49;26,67;27,219999;583400;27,219999
2010-03-02;27,370001;27,969999;27,139999;27,889999;868100;27,889999
2010-03-03;28,58;29,76;28,49;29,16;2139300;29,16
2010-03-04;29,27;29,27;28,52;28,83;702800;28,83
2010-03-05;29,09;29,559999;28,870001;29,530001;728200;29,530001
2010-03-08;29,4;29,690001;29,24;29,68;764600;29,68
2010-03-09;29,559999;30,23;29,040001;29,200001;877800;29,200001
2010-03-10;29,290001;29,34;28,66;29,299999;561300;29,299999
2010-03-11;29,01;29,68;28,52;29,52;378300;29,52
2010-03-12;29,6;29,799999;28,85;29,139999;376900;29,139999
2010-03-15;29,040001;29,959999;28,65;29,889999;695000;29,889999
2010-03-16;30,059999;30,26;29,559999;30,16;951200;30,16
2010-03-17;30,309999;30,469999;29,77;30,25;534900;30,25
2010-03-18;30,139999;30,99;30;30,290001;676700;30,290001
2010-03-19;30,719999;31,07;30,42;30,719999;1275700;30,719999
2010-03-22;30,809999;31,99;30,780001;31,209999;817600;31,209999
2010-03-23;31,299999;31,459999;30,540001;31,23;624600;31,23
2010-03-24;31,15;31,360001;30,530001;30,530001;462500;30,530001
2010-03-25;30,870001;31,02;29,629999;29,780001;1070800;29,780001
2010-03-26;29,76;30,17;29,32;29,549999;433500;29,549999
2010-03-29;29,74;30,16;29,549999;30,049999;219100;30,049999
2010-03-30;29,99;30,450001;29,879999;30,200001;241000;30,200001
2010-03-31;29,969999;30,17;29,67;29,799999;385100;29,799999
2010-04-01;30,030001;30,49;29,549999;29,91;392600;29,91
2010-04-05;29,940001;30,32;29,74;30,1;188400;30,1
2010-04-06;30,17;31,219999;29,93;31,139999;456200;31,139999
2010-04-07;30,969999;31,110001;30,17;30,41;353400;30,41
2010-04-08;30,25;30,25;29,5;29,67;371800;29,67
2010-04-09;29,74;29,74;28,91;29,08;732300;29,08
2010-04-12;29,01;29,139999;28,32;28,639999;951600;28,639999
2010-04-13;28,549999;28,6;27,969999;28,01;794900;28,01
2010-04-14;28,059999;28,32;27,530001;28,26;1267800;28,26
2010-04-15;28,290001;29,139999;28,040001;29,01;1647100;29,01
2010-04-16;29;29,530001;28,67;29,41;1309300;29,41
2010-04-19;29,48;31,48;29,48;31,09;1516200;31,09
2010-04-20;31,26;32;31,139999;31,700001;1054400;31,700001
2010-04-21;31,620001;32,16;30,91;31,25;824300;31,25
2010-04-22;30,870001;31,190001;30,23;30,950001;694500;30,950001
2010-04-23;30,969999;31;30,34;30,530001;946000;30,530001
2010-04-26;30,5;30,709999;28,85;28,99;1032500;28,99
2010-04-27;28,82;29,23;27,959999;28,01;1123500;28,01
2010-04-28;28,190001;29,09;28;29,030001;883400;29,030001
2010-04-29;29,290001;30,209999;29,1;29,879999;701200;29,879999
2010-04-30;30;30;28,59;28,629999;828900;28,629999
2010-05-03;28,67;29,4;28,540001;29,26;778400;29,26
2010-05-04;28,83;28,870001;27,950001;28,200001;497900;28,200001
2010-05-05;28,49;29,440001;27,790001;29,110001;1082400;29,110001
2010-05-06;29,07;29,389999;25,26;27,76;1383200;27,76
2010-05-07;27,5;27,83;26,58;26,719999;912600;26,719999
2010-05-10;27,83;28,379999;26,92;27,200001;811700;27,200001
2010-05-11;26,940001;28,18;26,799999;27,57;709200;27,57
2010-05-12;27,65;28,77;27,5;28,73;604600;28,73
2010-05-13;28,6;29,129999;28,33;28,5;361400;28,5
2010-05-14;28,33;28,49;27,1;27,91;444100;27,91
2010-05-17;28,040001;28,280001;26,75;27,469999;420500;27,469999
2010-05-18;27,68;28,18;27,23;27,299999;447100;27,299999
2010-05-19;27,09;27,290001;26,620001;26,809999;527700;26,809999
