"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,526667;16,546667;16,313334;16,34;2851900;13,316372
2010-01-05;16,306667;16,306667;16,18;16,280001;1715700;13,267475
2010-01-06;16,266666;16,360001;16,16;16,313334;1798800;13,294642
2010-01-07;16,266666;16,413334;16,126667;16,379999;1486500;13,348969
2010-01-08;16,306667;16,379999;16,253334;16,366667;1043500;13,338103
2010-01-11;16,393333;16,413334;16,200001;16,4;859000;13,365269
2010-01-12;16,293333;16,5;16,293333;16,466667;1368700;13,419605
2010-01-13;16,546667;16,793333;16,48;16,773333;1594500;13,669519
2010-01-14;16,700001;16,766666;16,506666;16,633333;1594000;13,555429
2010-01-15;16,573334;16,713333;16,566668;16,620001;1667200;13,544561
2010-01-19;16,620001;16,726667;16,393333;16,526667;2484700;13,468498
2010-01-20;16,446667;16,633333;16,433332;16,566668;1389900;13,5011
2010-01-21;16,620001;16,733334;16,493334;16,673334;2739100;13,588026
2010-01-22;16,753334;16,780001;16,386667;16,466667;1789900;13,419605
2010-01-25;16,613333;16,639999;16,393333;16,526667;908100;13,468498
2010-01-26;16,453333;16,666666;16,413334;16,466667;859300;13,419605
2010-01-27;16,426666;16,6;16,26;16,466667;1461400;13,419605
2010-01-28;16,493334;16,493334;16,273333;16,313334;1098700;13,294642
2010-01-29;16,313334;16,386667;16,219999;16,219999;2099200;13,218579
2010-02-01;16,306667;16,360001;16,173334;16,313334;1480900;13,294642
2010-02-02;16,313334;16,360001;16,246666;16,313334;1626000;13,294642
2010-02-03;16,253334;16,26;16,120001;16,139999;1199200;13,153378
2010-02-04;16,066668;16,273333;16,053333;16,073334;1682800;13,099055
2010-02-05;16,040001;16,273333;15,926666;16,120001;1618000;13,137082
2010-02-08;16,093334;16,246666;15,933333;16,153334;1442500;13,164247
2010-02-09;16,34;16,833334;16,280001;16,613333;2517300;13,539127
2010-02-10;16,613333;16,686666;16,446667;16,639999;1322100;13,56086
2010-02-11;16,586666;16,74;16,553333;16,693333;1561800;13,604323
2010-02-12;16,586666;16,733334;16,453333;16,726667;2340300;13,631491
2010-02-16;16,773333;16,846666;16,593334;16,813334;1161400;13,702118
2010-02-17;16,806667;16,893333;16,700001;16,766666;861000;13,664086
2010-02-18;16,766666;17,026667;16,74;17,026667;931200;13,875976
