"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;54,029999;55,169998;53,880001;55,169998;627500;51,861771
2010-01-05;55,02;55,25;54,200001;55,07;732600;51,767776
2010-01-06;54,93;55,259998;54,73;54,990002;1140500;51,69257
2010-01-07;54,709999;55,09;53,580002;54,119999;912500;50,874741
2010-01-08;53,830002;55,130001;53,66;55,130001;609500;51,824169
2010-01-11;55,23;56;53,209999;54,419998;695900;51,156754
2010-01-12;53,830002;54,66;53,369999;53,630001;569900;50,414124
2010-01-13;53,68;55,450001;52,849998;55,349998;550400;52,030987
2010-01-14;55,209999;58,150002;54,98;56,189999;885900;52,820618
2010-01-15;56,169998;56,810001;54,669998;54,73;565300;51,448154
2010-01-19;54,560001;54,869999;53,5;54,75;542300;51,466957
2010-01-20;53,900002;54,310001;53,009998;54,130001;721200;50,884148
2010-01-21;54,400002;55,43;53,779999;53,939999;820300;50,705536
2010-01-22;53,77;54,099998;52,669998;52,970001;691300;49,793701
2010-01-25;53,639999;54,560001;53,59;54,07;583200;50,827744
2010-01-26;53,650002;54,689999;52,75;53,560001;539700;50,34832
2010-01-27;53,299999;54,080002;51,419998;52,630001;553000;49,474083
2010-01-28;52,990002;53;50,720001;51,610001;545600;48,515263
2010-01-29;52,02;52,07;49,150002;49,209999;1127800;46,259167
2010-02-01;49,700001;51,099998;49,639999;51,099998;336000;48,035835
2010-02-02;51,349998;52,189999;50,599998;52,080002;361600;48,957077
2010-02-03;51,830002;52,240002;51,290001;51,860001;858700;48,750259
2010-02-04;51,240002;51,240002;48,919998;49,41;981900;46,447174
2010-02-05;50,130001;50,580002;48,68;50,560001;1280400;47,528214
2010-02-08;51;53,59;50,990002;52,290001;1313800;49,154484
2010-02-09;53,200001;54,98;53,200001;54,34;2201500;51,081547
2010-02-10;53,900002;54,560001;52,830002;54,009998;786700;50,827461
2010-02-11;54;55,790001;53,759998;55,470001;871300;52,201424
2010-02-12;54,400002;56,220001;54,299999;55,869999;1029100;52,577858
2010-02-16;57,049999;57,34;56,360001;56,84;792900;53,4907
2010-02-17;58,150002;59,41;56,349998;57,009998;2908900;53,650684
2010-02-18;57,200001;58,919998;56,709999;58,740002;1098900;55,27874
2010-02-19;58,830002;60,349998;58,650002;59,98;1441800;56,445667
2010-02-22;59,27;59,630001;57,639999;57,939999;1304000;54,525875
2010-02-23;57,610001;57,990002;56,240002;56,650002;1031600;53,311897
2010-02-24;57,18;57,66;56,529999;57,299999;896400;53,923588
2010-02-25;56,32;58,139999;55,610001;58,130001;870700;54,704678
2010-02-26;58,32;59,84;58,18;59,759998;1017100;56,238636
2010-03-01;60,049999;61,470001;59,75;61,25;1461500;57,64085
2010-03-02;61,610001;62,509998;60,59;60,82;1475200;57,236191
2010-03-03;61;61;59,970001;60,169998;783300;56,624477
2010-03-04;60,139999;60,880001;59,23;59,799999;1085300;56,276279
2010-03-05;60,099998;60,779999;60,099998;60,68;906600;57,104427
2010-03-08;60,75;61,52;60,389999;60,91;837800;57,320881
2010-03-09;60,490002;61,220001;59,619999;60,169998;1025400;56,624477
2010-03-10;60,049999;62,049999;60,049999;61,740002;1032700;58,101963
2010-03-11;61,43;62,060001;61,09;62,060001;1004900;58,403114
2010-03-12;62,25;62,43;61,32;62,419998;724000;58,74189
2010-03-15;62,139999;62,400002;60,02;61,169998;1067400;57,565556
2010-03-16;61,560001;63,09;61,049999;62,18;1336900;58,516033
2010-03-17;62,439999;62,869999;60,970001;61,290001;860000;57,678471
2010-03-18;61,110001;61,310001;58,330002;58,959999;1465000;55,485786
2010-03-19;57,900002;59,34;56,810001;57,900002;1133100;54,488247
2010-03-22;57,25;58,310001;56,759998;58,189999;638600;54,761154
2010-03-23;58,34;59,68;58,330002;59,580002;607100;56,069244
2010-03-24;59;59,990002;58,869999;58,880001;845400;55,410503
2010-03-25;59,52;59,91;57,040001;57,130001;813300;53,763615
2010-03-26;57,439999;57,77;56,490002;56,860001;744600;53,509521
2010-03-29;57,169998;59,09;57,09;58,669998;653500;55,21286
2010-03-30;58,900002;59,07;57,650002;58,720001;1003900;55,259922
2010-03-31;58,650002;60,34;58,099998;59,380001;1052200;55,881027
2010-04-01;59,970001;60,790001;59,549999;60,349998;880300;56,79388
2010-04-05;60,790001;62,150002;60,700001;61,82;691800;58,177246
2010-04-06;61,57;62,970001;61,509998;62,360001;1106700;58,685444
2010-04-07;62,099998;62,279999;60,639999;61,150002;1066500;57,546726
2010-04-08;60,639999;62,099998;59,509998;61,470001;1013800;57,847874
2010-04-09;61,610001;62,970001;61,490002;62,889999;888600;59,184193
2010-04-12;63,049999;64,25;62,68;63,18;1051400;59,457115
2010-04-13;62,889999;63,18;61,68;62,310001;943700;58,638374
2010-04-14;62,919998;63,75;62,52;63,599998;1067100;59,852371
2010-04-15;63,299999;64,93;63,299999;64,529999;1110500;60,727558
2010-04-16;64;64,900002;63,25;63,84;1431700;60,078217
2010-04-19;63,389999;64,970001;62,400002;64,739998;1428700;60,925186
2010-04-20;65,230003;66,279999;65,010002;65,209999;1204000;61,367496
2010-04-21;65,129997;65,190002;63,630001;64,07;1148600;60,29467
2010-04-22;63,25;64,650002;62,689999;64,419998;784000;60,624027
2010-04-23;64,629997;67,489998;64,330002;67,440002;1408600;63,466095
2010-04-26;66,900002;67,160004;66,150002;66,540001;1048700;62,619125
2010-04-27;66,209999;68,25;65,639999;65,769997;2054600;61,894501
2010-04-28;67,040001;68;65,690002;66,870003;1239700;62,92968
2010-04-29;67,43;68,220001;65,339996;67,129997;1419700;63,174366
2010-04-30;67,080002;68,5;66,629997;68,080002;1283300;64,06842
2010-05-03;68,330002;70,519997;67,529999;69,459999;1079400;65,367065
2010-05-04;68,260002;68,610001;67,389999;67,849998;1244400;63,851929
2010-05-05;66,480003;69,339996;65,300003;67,720001;1685700;63,72961
2010-05-06;67,400002;68,080002;60,18;65,040001;2435600;61,20752
2010-05-07;64,389999;65;58,639999;61,189999;3066000;57,584373
2010-05-10;64,32;67,269997;63,709999;67,099998;2419600;63,146111
2010-05-11;66;69,690002;65,699997;68,160004;1912100;64,143669
2010-05-12;68,5;71,959999;68,5;71,580002;1724000;67,441307
2010-05-13;70,739998;73,239998;70,620003;71,949997;1250400;67,789932
2010-05-14;71,169998;71,709999;69,739998;70,720001;1285800;66,631027
2010-05-17;71,040001;71,279999;67,879997;69,660004;1506700;65,632317
2010-05-18;70,919998;71,309998;67,559998;68,650002;2117200;64,680695
2010-05-19;68,139999;69,32;65,480003;67,169998;2028100;63,286289
2010-05-20;64,989998;65,18;62,720001;62,950001;2639400;59,310295
2010-05-21;61,599998;65,879997;61,5;65,849998;2918500;62,042614
2010-05-24;65,699997;66,699997;65,349998;65,620003;1791600;61,825905
2010-05-25;63,279999;66,25;62,73;66,07;2051300;62,249893
2010-05-26;67,129997;69,199997;66,889999;67,610001;1946200;63,700859
2010-05-27;69,949997;72,459999;69,43;72,449997;1671800;68,260986
2010-05-28;72,559998;74,68;71,709999;73,480003;2288800;69,231461
2010-06-01;72,870003;76,230003;72,449997;74,339996;2612400;70,041718
2010-06-02;75,129997;78,720001;75,110001;78,660004;2872400;74,111931
2010-06-03;78,57;78,57;74,089996;77,330002;3005500;72,85881
2010-06-04;75,419998;79,230003;73,709999;74,349998;2393600;70,051155
2010-06-07;74,639999;78,139999;74,529999;75,279999;2001200;70,927368
2010-06-08;74,93;76,040001;73,099998;75;1625100;70,663574
2010-06-09;76,300003;78,330002;75,25;75,639999;1659600;71,266556
2010-06-10;77,660004;78,209999;76,5;77,790001;1536300;73,292252
2010-06-11;75,989998;79,5;75,970001;79,209999;1657900;74,630165
2010-06-14;80,489998;81,5;79,220001;79,800003;2133900;75,186035
2010-06-15;80,160004;80,879997;79,279999;80,230003;1975000;75,591164
2010-06-16;78,800003;81,449997;77,790001;79,669998;2164300;75,063545
2010-06-17;80,639999;80,860001;78,419998;79,32;1899400;74,733765
2010-06-18;79,25;80,260002;78,480003;79,660004;1497700;75,054123
2010-06-21;81,029999;81,029999;76,68;77,5;1716000;73,01902
2010-06-22;77,489998;77,580002;72,629997;73,129997;2317000;68,901672
2010-06-23;72,849998;74,129997;71,959999;73,559998;1475400;69,306801
2010-06-24;73;74,540001;71,57;71,949997;1279200;67,789932
2010-06-25;71,82;73,480003;70,540001;72,949997;3131500;68,732086
2010-06-28;73,150002;74,239998;72,580002;73,370003;1833600;69,127823
2010-06-29;71,589996;72,989998;70,68;71,690002;1991600;67,544945
2010-06-30;71,699997;73,360001;71;71,580002;1896500;67,441307
2010-07-01;71,639999;72,019997;67,870003;70,139999;1731100;66,084534
2010-07-02;70,550003;72,150002;69,370003;70,169998;1148900;66,112846
2010-07-06;71,580002;72,870003;69,980003;70,879997;1112300;66,781784
2010-07-07;71,379997;74,760002;71,379997;74,760002;1278600;70,437424
2010-07-08;75,860001;75,860001;73,059998;74,790001;1377200;70,465683
2010-07-09;75,010002;76,080002;73,980003;74,68;1124700;70,362068
2010-07-12;75,019997;75,230003;72,790001;73,43;1581000;69,184341
2010-07-13;74,139999;74,870003;72,370003;74,5;1355100;70,192482
2010-07-14;74,349998;75,860001;73,639999;75,290001;1320300;70,936813
