"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;21,379999;21,379999;21,040001;21,08;2670400;14,500958
2010-01-05;20,950001;21;20,41;20,83;4321400;14,328979
2010-01-06;20,870001;20,959999;20,74;20,870001;2164500;14,356496
2010-01-07;20,799999;20,84;20,639999;20,780001;3041700;14,294587
2010-01-08;20,76;20,809999;20,59;20,790001;1599100;14,301464
2010-01-11;20,91;21,09;20,790001;20,99;2266600;14,439042
2010-01-12;20,940001;21,26;20,860001;21,24;3481400;14,61102
2010-01-13;21,280001;21,620001;21,280001;21,57;3438400;14,838025
2010-01-14;21,65;21,66;21,459999;21,610001;2278400;14,865539
2010-01-15;21,540001;21,540001;21,290001;21,41;3249700;14,727957
2010-01-19;21,440001;21,6;21,309999;21,6;1647700;14,858665
2010-01-20;21,559999;21,610001;21,23;21,540001;2731100;14,817395
2010-01-21;21,59;21,76;21,24;21,370001;4444100;14,700451
2010-01-22;21,33;21,43;20,84;20,84;3347900;14,335855
2010-01-25;20,92;21;20,67;20,790001;2106500;14,301464
2010-01-26;20,690001;20,92;20,629999;20,799999;2730900;14,308339
2010-01-27;20,73;20,99;20,57;20,940001;3885800;14,404649
2010-01-28;21,1;21,1;20,719999;20,860001;2859000;14,349617
2010-01-29;20,870001;20,959999;20,68;20,780001;3960200;14,294587
2010-02-01;20,83;20,91;20,629999;20,85;2335200;14,342734
2010-02-02;20,799999;21,17;20,67;21,17;2501800;14,562864
2010-02-03;21,07;21,16;20,879999;20,92;2209300;14,390891
2010-02-04;20,84;20,860001;20,23;20,23;4037200;13,916238
2010-02-05;20,190001;20,23;19,860001;20,129999;4800900;13,84745
2010-02-08;20,15;20,26;20,02;20,040001;3274300;13,785541
2010-02-09;20,120001;20,41;20,09;20,200001;3303600;13,895597
2010-02-10;20,190001;20,24;19,870001;20,059999;3504600;13,799294
2010-02-11;20,08;20,32;19,82;20,290001;3170700;13,957512
2010-02-12;20,120001;20,25;20,01;20,23;3009500;13,916238
2010-02-16;20,309999;20,620001;20,309999;20,6;1541700;14,170761
2010-02-17;20,639999;20,76;20,469999;20,549999;2249700;14,136367
2010-02-18;20,559999;20,85;20,530001;20,84;2286800;14,335855
2010-02-19;20,799999;21,139999;20,719999;21,08;1938000;14,500958
2010-02-22;21,16;21,200001;21;21,040001;2090700;14,473442
2010-02-23;21;21,139999;20,879999;20,98;3150800;14,432166
2010-02-24;21,030001;21,129999;20,73;21,030001;2907000;14,466561
2010-02-25;20,82;21,049999;20,700001;20,969999;3108700;14,425284
2010-02-26;20,969999;21,09;20,809999;20,809999;2561700;14,315217
2010-03-01;20,889999;21,139999;20,860001;21,02;1524900;14,459682
2010-03-02;21,110001;21,27;21,07;21,219999;1827700;14,597253
2010-03-03;21,209999;21,379999;21,15;21,23;1558200;14,604141
2010-03-04;21,23;21,24;20,99;21,059999;2696100;14,487196
2010-03-05;21,08;21,200001;21,040001;21,190001;1982700;14,576623
2010-03-08;21,15;21,219999;21,08;21,15;1408200;14,549107
2010-03-09;21,120001;21,25;21,02;21,129999;2193400;14,53535
2010-03-10;21,110001;21,200001;20,92;21,110001;2285800;14,521594
2010-03-11;21,09;21,120001;20,940001;21,09;2853800;14,507832
