"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;12,94;13,37;12,88;13,33;3974600;12,169557
2010-01-05;13,28;13,83;13,23;13,8;5605500;12,598642
2010-01-06;13,67;15,01;13,66;15;12615200;13,694175
2010-01-07;14,97;17;14,95;16,68;24716800;15,227921
2010-01-08;16,190001;16,66;15,52;16,41;6903000;14,981429
2010-01-11;16,469999;16,790001;16,1;16,51;5532000;15,07272
2010-01-12;16,379999;16,940001;15,83;16,049999;7340200;14,652766
2010-01-13;15,95;16,57;15,14;16,35;10367200;14,926653
2010-01-14;16,360001;16,85;16,25;16,709999;4677900;15,255309
2010-01-15;16,780001;16,889999;16,120001;16,26;4889300;14,844487
2010-01-19;16,25;17,200001;16,059999;17,110001;7056700;15,620486
2010-01-20;16,91;18;16,85;17,92;9979700;16,359976
2010-01-21;17,969999;19,42;17,950001;18,360001;14223800;16,761667
2010-01-22;18,07;18,25;17,120001;17,66;11289700;16,122604
2010-01-25;17,959999;17,99;16,690001;17,92;10474700;16,359976
2010-01-26;18,959999;20,58;18,9;19,08;26333100;17,418985
2010-01-27;18,879999;19,34;18,34;18,940001;9314100;17,291178
2010-01-28;19,530001;19,75;18,9;19,34;7063800;17,656359
2010-01-29;19,57;19,700001;18,780001;18,969999;6963600;17,318567
2010-02-01;19,17;19,940001;19,129999;19,92;6913400;18,185863
2010-02-02;19,98;20,190001;19,440001;19,91;5880500;18,176731
2010-02-03;19,77;19,780001;18,459999;18,620001;10280400;16,999041
2010-02-04;18,09;18,15;17,389999;17,49;11389800;15,96741
2010-02-05;17,629999;18,1;17,24;18;7965300;16,433012
2010-02-08;18,030001;18,780001;17,700001;17,99;8066000;16,433006
2010-02-09;18,299999;18,65;17,99;18,209999;4783100;16,633974
2010-02-10;18,26;18,700001;18,129999;18,52;4126600;16,917139
2010-02-11;18,41;18,629999;18,07;18,17;5180100;16,597429
2010-02-12;18,01;18,049999;17,540001;17,85;4889000;16,305122
2010-02-16;18,1;18,33;17,75;18,26;3531900;16,679644
2010-02-17;18,49;18,49;17,85;18,049999;3946300;16,487822
2010-02-18;17,870001;18,139999;17,6;17,719999;4436000;16,186378
2010-02-19;17,67;18,51;17,57;18,440001;5704800;16,844067
2010-02-22;18,549999;19;18,52;18,870001;4690800;17,236853
2010-02-23;18,559999;18,940001;18,030001;18,18;5477800;16,60656
2010-02-24;18,200001;18,9;18,07;18,67;4770400;17,054163
2010-02-25;18,32;18,459999;18,02;18,440001;4482200;16,844067
2010-02-26;18,459999;18,6;18,120001;18,540001;3528900;16,935411
2010-03-01;18,700001;18,700001;18,18;18,299999;2452200;16,716175
2010-03-02;18,799999;19,190001;18,41;18,639999;4703800;17,026754
2010-03-03;18,73;18,76;18,32;18,4;3343500;16,807522
2010-03-04;18,370001;18,440001;18;18,08;4441000;16,515219
2010-03-05;18,25;18,780001;18,139999;18,74;4540900;17,118101
2010-03-08;18,91;19,07;18,67;18,93;3084200;17,29166
2010-03-09;18,74;19,4;18,459999;19,26;5624600;17,5931
2010-03-10;19,5;21,059999;19,450001;20,49;13857400;18,716646
2010-03-11;20,68;21,73;20,370001;21,43;14077100;19,575293
2010-03-12;21,68;21,93;20,959999;20,99;9106700;19,17337
2010-03-15;20,940001;21,33;20,58;21,24;6415500;19,40173
2010-03-16;21,459999;22,35;21,24;22,219999;8523800;20,296915
2010-03-17;22,18;23,73;22,18;23,190001;13527300;21,182968
2010-03-18;22,790001;22,99;22,190001;22,73;8474500;20,762775
2010-03-19;22,68;22,969999;22,02;22,110001;7798700;20,196438
2010-03-22;21,75;22,67;21,360001;22,610001;5981200;20,65316
2010-03-23;22,59;22,9;22,18;22,82;4373500;20,844984
2010-03-24;22,73;23,43;22,68;23,059999;5177100;21,064219
2010-03-25;23,34;23,85;22,6;22,639999;5195100;20,680567
2010-03-26;22,780001;23,190001;21,91;22,23;5999600;20,306046
2010-03-29;22,540001;22,709999;21,440001;21,75;7127400;19,867594
2010-03-30;21,799999;21,98;21,57;21,66;3950800;19,785378
2010-03-31;21,43;22,08;21,41;21,84;4617800;19,949802
2010-04-01;22,129999;22,18;21,610001;21,879999;3231500;19,98634
2010-04-05;22,5;23,26;22,24;23,209999;6554200;21,201231
2010-04-06;23,139999;24,65;23,02;24,27;8533800;22,169495
2010-04-07;24,32;24,75;23,34;23,75;7203800;21,694496
2010-04-08;23,77;24,16;23,26;23,959999;4002200;21,886318
2010-04-09;24,17;24,35;23,709999;23,93;3588400;21,858925
2010-04-12;23,93;24,92;23,67;24,9;7493900;22,744965
2010-04-13;24,75;24,85;24,26;24,57;9121900;22,443529
2010-04-14;24,950001;26,68;24,75;26,360001;12528900;24,078608
2010-04-15;27,059999;27,110001;25,790001;26,139999;10151500;23,877645
2010-04-16;26,049999;26,33;24,379999;25,530001;8800800;23,320448
2010-04-19;25,27;25,84;24,66;25,43;8444100;23,229095
2010-04-20;25,780001;27,6;25,280001;27,42;13658700;25,046867
2010-04-21;27,559999;30;27,459999;28,870001;15578100;26,371372
2010-04-22;28,68;29,75;28,15;29,6;6772200;27,038195
